CENSUS_SUBDIVISION_ID,ELEVATION_POINT,ELEVATION_MEAN,ELEVATION_MAX,ELEVATION_MIN
5901003,1516.0,1571.62611624,2430.0,1230.0
5901006,1816.0,1553.95941331,2529.0,1089.0
5901012,1013.0,1068.4647893,1508.0,984.0
5901017,1348.0,1825.98786763,3284.0,0.0
5901019,805.0,1351.36362089,2666.0,0.0
5901022,946.0,928.89319859,1110.0,811.0
5901028,1074.0,1200.75787086,1906.0,877.0
5901035,818.0,1533.06893023,3357.0,0.0
5901037,1542.0,1691.73015393,2932.0,765.0
5901039,839.0,858.427515486,1008.0,798.0
5901040,860.0,847.102503912,992.0,797.0
5901043,814.0,830.269295416,1212.0,807.0
5901046,1073.0,1790.47606271,3422.0,622.0
5901048,1810.0,1816.11998799,3608.0,782.0
5901801,825.0,840.535260441,966.0,778.0
5901802,756.0,765.745693563,853.0,751.0
5901803,832.0,845.860163012,963.0,764.0
5901804,873.0,875.811796006,1186.0,789.0
5901805,824.0,823.656565657,835.0,821.0
5901806,874.0,863.544203527,931.0,798.0
5903004,600.0,650.453444584,1135.0,531.0
5903010,549.0,1442.90415785,2777.0,530.0
5903011,667.0,684.918008048,914.0,652.0
5903013,795.0,1436.3248585,2664.0,0.0
5903015,562.0,573.250505994,810.0,452.0
5903017,1639.0,1279.09962229,2380.0,0.0
5903019,555.0,553.927516779,655.0,541.0
5903023,587.0,585.294589178,732.0,532.0
5903027,545.0,545.352238806,590.0,537.0
5903032,547.0,546.331794398,602.0,535.0
5903039,1076.0,1741.37680176,3382.0,531.0
5903041,1514.0,1402.62206848,2782.0,452.0
5903043,1660.0,1402.3809403,2608.0,508.0
5903045,482.0,501.107640412,781.0,414.0
5903047,667.0,1388.42791986,2394.0,525.0
5903050,476.0,512.667320765,878.0,441.0
5903052,658.0,1536.71728516,2978.0,452.0
5903056,1471.0,837.78459795,1661.0,415.0
5903058,849.0,1241.05536434,2482.0,412.0
5903060,568.0,1353.61005391,2965.0,437.0
5903807,540.0,545.016099585,630.0,533.0
5905005,609.0,620.145992146,763.0,569.0
5905009,593.0,581.666097353,808.0,432.0
5905014,519.0,689.74632756,1324.0,400.0
5905018,606.0,613.383289125,777.0,478.0
5905023,1174.0,1519.65767253,2239.0,717.0
5905026,608.0,899.786513056,1591.0,397.0
5905030,1411.0,1263.72772556,2378.0,394.0
