census_subdivision_id,census_year,clab_id,band_number,first_nation_name_primary,first_nation_name_secondary,nation,data_notes
5901804,2011,,604,?Akisq'nuk First Nation,Columbia Lake Indian Band,,
5901803,2011,,602,?Aq'am,St. Mary's,,
5941882,2011,,709,?Esdilagh First Nation,Alexandria Indian Band,,
5933884,2011,,684,Adams Lake,,,
5923808,2011,,659,Ahousaht,,,
5909835,2011,,558,Aitchelitz,,,
5933844,2011,,685,Ashcroft,,,
5917809,2011,,640,Beecher Bay,Scia'new First Nation,,
5955803,2011,,547,Blueberry River First Nations,,,
5933812,2011,,686,Bonaparte,,,
5909819,2011,,700,Boothroyd,,,
5909806,2011,,701,Boston Bar First Nation,,,
5951815,2011,,619,Burns Lake,,,
5924804,2011,,622,Campbell River,We Wai Kum First Nation,,
5941802,2011,,713,Canim Lake,Tsq'escen’,,
5924812,2011,,623,Cape Mudge,We Wai Kai,,
5931814,2011,,591,Cayoose Creek,Sekw'el'was,,
5909804,2011,,583,Chawathil,Hope Indian Band,,
5909837,2011,,584,Cheam,,,
5951818,2011,,620,Cheslatta Carrier Nation,,,
5933801,2011,,693,Coldwater,,,
5933834,2011,,694,Cook's Ferry,,,
5919822,2011,,642,Cowichan Tribes,,,
,,7095,635,Da'naxda'xw/Awaetlala First Nation,Tanakteuk Indian Band,,
5957804,2011,,504,Dease River,,,"AANDC First Nation Profiles includes this nation in Yukon, not BC."
5919814,2011,,662,Ditidaht,,,
5955804,2011,,548,Doig River First Nation,,,
5943813,2011,,636,Dzawada'enuxw First Nation,Tsawataineuk,,
5924805,2011,,634,Ehattesaht,,,
5941801,2011,,711,Esk'etemc,,,
5917811,2011,,644,Esquimalt,,,
5959806,2011,,543,Fort Nelson First Nation,,,
5949812,2011,,531,Gitanmaax,,,
5949815,2011,,537,Gitanyow,,,
5947806,2011,,675,Gitga'at First Nation,,,
5949814,2011,,535,Gitsegukla,Kitsegugkla - Gitxsan,,
5949816,2011,,536,Gitwangak Band Council,Kitwanga,,
5947807,2011,,672,Gitxaala Nation,Kitkatla,,
5943806,2011,,724,Gwa'sala-Nakwaxda'xw Nation,,,
5943809,2011,,627,Gwawaenuk Tribe,,,
5949811,2011,,534,Hagwilget Village Council,,,
5949803,2011,,676,Haisla Nation,Kitimaat Village Council,,
5919801,2011,,645,Halalt,,,
5955808,2011,,546,Halfway River First Nation,,,
5945801,2011,,538,Heiltsuk,Bella Bella Indian Band,,
5923824,2011,,661,Hesquiaht,,,
5933819,2011,,703,High Bar,,,
5924840,2011,,552,Homalco,,,
5923801,2011,,664,Hupacasath First Nation,,,
5923803,2011,,663,Huu-Ay-Aht First Nation,,,
5949832,2011,,683,Iskut,,,
5926801,2011,,624,K'ómoks First Nation,Comox Indian Band,,
5924806,2011,,638,Ka:'yu:'k't'h'/Che:k:tles7et'h' First Nations,Kyoquot First Nation,,
5933882,2011,,704,Kanaka Bar,,,
5915830,2011,,563,Katzie,,,
5949813,2011,,532,Kispiox,,,
5949802,2011,,540,Kitasoo/Xai'xais,Klemtu,,
5949807,2011,,680,Kitselas,,,
5949804,2011,,681,Kitsumkalum,,,
5924820,2011,,553,Klahoose First Nation,,,
5955807,2011,,610,Kwadacha,Fort Ware,,
5943815,2011,,626,Kwakiutl,,,
5915816,2011,,564,Kwantlen First Nation,Fort Langley Band,,
5909821,2011,,580,Kwaw-Kwaw-a-pilt First Nation,,,
,,7029,628,Kwiakah,,,
5943837,2011,,625,Kwikwasut'inuxw Haxwa'mis,Kwicksutaineuk/Ah-Kwa-Mish Tribes,,
5915805,2011,,560,Kwikwetlem First Nation,,,
5951827,2011,,607,Lake Babine Nation,,,
5919812,2011,,643,Lake Cowichan First Nation,,,
5947809,2011,,674,Lax Kw'alaams,,,
5909880,2011,,579,Leq' A: Mel First Nation,Lakahahmen,,
5953801,2011,,611,Lheidli T'enneh,,,
5941833,2011,,721,Lhoosk'uz Dene Nation,Kluskus Indian Band,,
5943837,2011,,715,Lhtako Dene Nation,Red Bluff,,
5931843,2011,,557,Lil'wat,Mount Currie Indian Band,,
5939805,2011,,689,Little Shuswap Lake,,,
5903807,2011,,606,Lower Kootenay,Yaqan nu?kiy,,
5933807,2011,,695,Lower Nicola,,,
5957813,2011,,502,Lower Post First Nation,Daylu Dene Nation,,"AANDC First Nation Profiles includes this nation in Yukon, not BC. Population is for entire Liard First Nation."
5907805,2011,,598,Lower Similkameen,,,
5919811,2011,,646,Lyackson,,,
5933853,2011,,705,Lytton,,,
5919815,2011,,647,Malahat First Nation,,,
,,7030,629,Mamalilikulla-Qwe'qwa'sot'em,,,
5909878,2011,,565,Matsqui,,,
5953802,2011,,618,Mcleod Lake,,,
5947810,2011,,673,Metlakatla,,,
5949817,2011,,530,Moricetown,,,
5924803,2011,,630,Mowachaht/Muchalaht,,,
5915803,2011,,550,Musqueam,,,
5931844,2011,,556,N'quatqua,Anderson Lake,,
5951802,2011,,612,Nadleh Whuten,,,
5951803,2011,,614,Nak'azdli,,,
5943837,2011,,631,Namgis First Nation,,,
5921805,2011,,649,Nanoose First Nation,Snaw-naw-as,,
5941837,2011,,720,Nazko First Nation,,,
5951819,2011,,726,Nee-Tahi-Buhn Band,,,
5933838,2011,,690,Neskonlith,,,
5933851,2011,,696,Nicomen,,,
5933851,2011,,671,Nisga'a Lisims Government,,,
5933851,2011,,677,Nisga'a Lisims Government,,,
5933851,2011,,678,Nisga'a Lisims Government,,,
5949035,2011,,679,Nisga'a Lisims Government,,,
5933808,2011,,699,Nooaitch,,,
5924833,2011,,639,Nuchatlaht,,,
5945802,2011,,539,Nuxalk Nation,Bella Coola Band,,
5939804,2011,,616,Okanagan Indian Band,,,
5947803,2011,,669,Old Massett Village Council,,,
5933854,2011,,692,Oregon Jack Creek,,,
5907802,2011,,596,Osoyoos Indian Band,,,
5945803,2011,,541,Oweekeno Nation,Wuikinuxv,,
5917815,2011,,658,Pacheedaht First Nation,,,
5917801,2011,,652,Pauquachin,,,
5919809,2011,,650,Penelakut Tribe,,,
5907803,2011,,597,Penticton,,,
5909843,2011,,586,Peters,,,
5909844,2011,,585,Popkum,,,
5959810,2011,,544,Prophet River First Nation,Denetsaa Tse K'Nai,,
5915029,2011,,566,Qayqayt,New Westminster,,The CSD record used to locate this First Nation is the the City of New Westminster CSD.
5921806,2011,,651,Qualicum First Nation,,,
5943816,2011,,633,Quatsino,,,
5951809,2011,,615,Saik'uz First Nation,,,
5909883,2011,,567,Samahquam,,,
5955801,2011,,542,Saulteau First Nations,,,
5909882,2011,,568,Scowlitz,,,
5909832,2011,,581,Seabird Island,,,
5929803,2011,,551,Sechelt,,,
5915801,2011,,569,Semiahmoo,,,
5931831,2011,,595,Seton Lake,,,
5933859,2011,,698,Shackan,,,
5901806,2011,,605,Shuswap,,,
