band_number,band_name,pop_total_registered,pop_on_reserve_crown,pop_off_reserve_crown
604,,271,154,117
602,,380,218,162
709,,196,53,143
684,,765,416,349
659,,2083,789,1294
558,,42,25,17
685,,270,78,192
640,,250,112,138
547,,471,225,246
686,,919,240,679
700,,283,90,193
701,,263,94,169
619,,128,48,80
622,,792,390,402
713,,605,440,165
623,,1096,395,701
591,,198,89,109
583,,591,386,205
584,,524,253,271
620,,351,170,181
693,,831,392,439
694,,344,81,263
642,,4772,2763,2009
635,,219,56,163
504,,180,65,115
662,,770,248,522
548,,303,143,160
636,,533,148,385
634,,462,141,321
711,,956,434,522
644,,300,195,105
543,,908,467,441
531,,2367,793,1574
537,,839,423,416
675,,737,148,589
535,,988,457,531
536,,1304,421,883
672,,1916,467,1449
724,,952,552,400
627,,41,15,26
534,,773,222,551
676,,1823,671,1152
645,,209,105,104
546,,276,154,122
538,,2380,1191,1189
661,,722,162,560
703,,117,,
552,,471,243,228
664,,313,142,171
663,,709,133,576
683,,746,361,385
624,,330,112,218
638,,556,186,370
704,,230,78,152
563,,562,322,240
532,,1608,717,891
540,,516,323,193
680,,628,296,332
681,,736,249,487
553,,398,85,313
610,,540,306,234
626,,765,337,428
564,,255,99,156
580,,44,34,10
628,,,,
625,,295,77,218
560,,85,39,46
607,,2440,1418,1022
643,,,,
674,,3710,709,3001
579,,401,138,263
611,,415,122,293
721,,234,73,161
715,,174,70,104
557,,2154,1513,641
689,,343,238,105
606,,234,119,115
695,,1225,561,664
502,,1190,507,683
598,,495,288,207
646,,209,39,170
705,,1989,953,1036
647,,319,173,146
629,,414,64,350
565,,262,117,145
618,,535,140,395
673,,890,94,796
530,,2007,719,1288
630,,603,254,349
550,,1355,783,572
556,,345,204,141
612,,543,279,264
614,,1883,753,1130
631,,1804,971,833
649,,251,175,76
720,,374,177,197
726,,144,54,90
690,,650,324,326
696,,134,66,68
671,,"1,987",480,"1,507"
677,,950,922,924
678,,897,640,"1,130"
679,,192,213,184
699,,220,124,96
639,,158,38,120
539,,1686,929,757
616,,1955,899,1056
669,,2977,754,2223
692,,65,20,45
596,,533,389,144
541,,289,91,198
658,,277,124,153
652,,402,286,116
650,,933,586,347
597,,1033,615,418
586,,157,47,110
585,,,,
544,,270,116,154
566,,,,
651,,124,58,66
633,,538,245,293
615,,951,456,495
567,,361,112,249
542,,1033,392,641
568,,251,106,145
581,,947,592,355
551,,1356,668,688
569,,90,57,33
595,,673,356,317
698,,131,78,53
605,,267,121,146
587,,186,100,86
570,,397,99,298
533,,414,205,209
691,,705,245,460
706,,312,104,208
562,,420,142,278
582,,86,12,74
687,,532,250,282
670,,1614,741,873
726,,179,58,121
571,,251,180,71
707,,119,66,53
573,,514,288,226
554,,1052,592,460
648,,1734,704,1030
656,,556,378,178
572,,371,176,195
600,,878,392,486
708,,276,50,226
555,,4119,2427,1692
574,,208,142,66
613,,534,223,311
559,,1080,568,512
723,,726,312,414
641,,1246,798,448
578,,325,176,149
593,,417,202,215
657,,257,134,123
682,,1867,325,1542
608,,765,430,335
501,,401,89,312
688,,1274,652,622
617,,1741,582,1159
712,,1571,601,970
660,,1074,400,674
632,,66,47,19
637,,407,74,333
603,,202,94,108
718,,333,164,169
666,,146,18,128
594,,556,277,279
653,,983,640,343
654,,872,600,272
577,,354,191,163
609,,477,239,238
665,,1145,460,685
655,,184,125,59
710,,682,356,326
549,,565,322,243
575,,503,265,238
667,,212,32,180
668,,647,216,431
722,,1031,683,348
588,,119,10,109
697,,961,432,529
599,,88,68,20
545,,281,120,161
601,,832,449,383
725,,242,96,146
702,,153,59,94
719,,767,272,495
561,,295,104,191
716,,422,177,245
592,,1026,401,625
714,,431,256,175
590,,454,234,220
576,,67,35,32
589,,164,67,97
728,,230,106,124
717,,446,256,190
