DRAFT_COLUMN_NAME,DRAFT_COLUMN_TYPE,SECTION,CATEGORY,IECD_ATTRIBUTE,EXACT_MATCH,SOURCE_TOPIC,SOURCE_COLUMN,SOURCE_CHARACTERISTICS,SOURCE_TABLE,NOTES,SOURCE_FILE_URI
pop_total,int,2.3,Population,Total,Y,Population and dwelling counts,total,Population in 2011,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
pop_4under,int,2.4,Population,17 and under,Y,Age characteristics,total,0 to 4 years,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
pop_5_9,int,2.4,Population,17 and under,N,Age characteristics,total,5 to 9 years,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
pop_10_14,int,2.4,Population,17 and under,N,Age characteristics,total,10 to 14 years,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
pop_15,int,2.4,Population,17 and under,N,Age characteristics,total,15 years,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
pop_16,int,2.4,Population,17 and under,N,Age characteristics,total,16 years,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
pop_17,int,2.4,Population,17 and under,N,Age characteristics,total,17 years,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
pop_18,int,2.4,Population,18 - 34,N,Age characteristics,total,18 years,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
pop_19,int,2.4,Population,18 - 34,N,Age characteristics,total,19 years,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
pop_20_24,int,2.4,Population,18 - 34,N,Age characteristics,total,20 to 24 years,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
pop_25_29,int,2.4,Population,18 - 34,N,Age characteristics,total,25 to 29 years,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
pop_30_34,int,2.4,Population,18 - 34,N,Age characteristics,total,30 to 34 years,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
pop_35_39,int,2.4,Population,35 - 54,N,Age characteristics,total,35 to 39 years,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
pop_40_44,int,2.4,Population,35 - 54,N,Age characteristics,total,40 to 44 years,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
