FIELD,TYPE,DESCRIPTION
CENSUS_DIVISION_ID,Number,"CENSUS_DIVISION_ID: is a foreign Key to link to CENSUS_DIVISION_ID in CEN_CENSUS_DIVISIONS, e.g., 5901. This field combining with CENSUS_POP_NHS_YEAR is the primary key of ECON_CENSUS_DIV_NHS_TBL table. "
GNR,Varchar2,QUALITY_QLFD_NHS_IND: an indicator of whether or not Statistics Canada has qualified the accuracy of any of the data on which the National Household Survey (NHS) fields in this record are based. Statistics Canada qualifies the accuracy of each field in the NHS (http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E) data.  (See http://www.statcan.gc.ca/concepts/definitions/guide-symbol-signes-eng.htm for a list of qualifications). ÒYÓ indicates that at least one field value in the source data has been qualified; ÒNÓ indicates that no field value has been qualified.
HSHLDINCOME_MEDIAN,Number,"Median household total income, 2010 ($)"
HSHLDINCOME_5KUNDER,Number,"Household total income in 2010 of private households - Under $5,000 (count)"
HSHLDINCOME_5K_10K,Number,"Household total income in 2010 of private households - $5,000 to $9,999 (count)"
HSHLDINCOME_10K_15K,Number,"Household total income in 2010 of private households - $10,000 to $14,999 (count)"
HSHLDINCOME_15K_20K,Number,"Household total income in 2010 of private households - $15,000 to $19,999 (count)"
HSHLDINCOME_20K_30K,Number,"Household total income in 2010 of private households - $20,000 to $29,999 (count)"
HSHLDINCOME_30K_40K,Number,"Household total income in 2010 of private households - $30,000 to $39,999 (count)"
HSHLDINCOME_40K_50K,Number,"Household total income in 2010 of private households - $40,000 to $49,999 (count)"
HSHLDINCOME_50K_60K,Number,"Household total income in 2010 of private households - $50,000 to $59,999 (count)"
HSHLDINCOME_60K_70K,Number,"Household total income in 2010 of private households - $60,000 to $79,999 (count)"
HSHLDINCOME_80K_90K,Number,"Household total income in 2010 of private households - $80,000 to $99,999 (count)"
HSHLDINCOME_100K_125K,Number,"Household total income in 2010 of private households - $100,000 to $124,999 (count)"
HSHLDINCOME_125K_150K,Number,"Household total income in 2010 of private households - $125,000 to $149,999 (count)"
HSHLDINCOME_150KPLUS,Number,"Household total income in 2010 of private households - $150,000 and over (count)"
WRKFRC_ED_U12,Number,"Education (25-64) - No certificate, diploma or degree"
WRKFRC_ED_12,Number,Education (25-64) - High school diploma or equivalent
WRKFRC_ED_ASSCDEG,Number,Education (25-64) - Apprenticeship or trades certificate or diploma; Apprenticeship or trades certificate or diploma; University certificate or diploma below bachelor level; 
WRKFRC_ED_COLLEGEGRAD_GT16YRS,Number,"Education (25-64) - University certificate, diploma or degree above bachelor level"
WRKFRC_ED_COLLEGEGRAD_16YRS,Number,Education (25-64) - Bachelor's degree
INDUSTRY_AGRICULTURE,Number,"Industry - 11 Agriculture, forestry, fishing and hunting"
INDUSTRY_MINING,Number,"Industry - 21 Mining, quarrying, and oil and gas extraction"
INDUSTRY_UTILITIES,Number,Industry - 22 Utilities
INDUSTRY_CONSTRUCTION,Number,Industry - 23 Construction
INDUSTRY_MANUFACTURING,Number,Industry - 31-33 Manufacturing
INDUSTRY_WHOLESALE,Number,Industry - 41 Wholesale trade
INDUSTRY_RETAIL,Number,Industry - 44-45 Retail trade
INDUSTRY_TRANSPORT,Number,Industry - 48-49 Transportation and warehousing
INDUSTRY_INFO_CULTURAL,Number,Industry - 51 Information and cultural industries
INDUSTRY_FINANCE_INSURANCE,Number,Industry - 52 Finance and insurance
INDUSTRY_REALESTATE,Number,Industry - 53 Real estate and rental and leasing
INDUSTRY_PROFESSIONAL,Number,"Industry - 54 Professional, scientific and technical services"
INDUSTRY_MANAGEMENT,Number,Industry - 55 Management of companies and enterprises
INDUSTRY_ADMIN_WASTE,Number,"Industry - 56 Administrative and support, waste management and remediation services"
INDUSTRY_EDUCATION,Number,Industry - 61 Educational services
INDUSTRY_HEALTH,Number,Industry - 62 Health care and social assistance
INDUSTRY_ARTS_REC,Number,"Industry - 71 Arts, entertainment and recreation"
INSUSTRY_ACCOMM_FOOD,Number,Industry - 72 Accommodation and food services
INDUSTRY_OTHER,Number,Industry - 81 Other services (except public administration)
INDUSTRY_PUBLIC_ADMIN,Number,Industry - 91 Public administration
OCCUPATION_MANAGEMENT,Number,Occupation - 0 Management occupations
OCCUPATION_BUSINESS,Number,"Occupation - 1 Business, finance and administration occupations"
OCCUPATION_SCIENCE,Number,Occupation - 2 Natural and applied sciences and related occupations
OCCUPATION_HEALTH,Number,Occupation - 3 Health occupations
OCCUPATION_EDUCATION_LAW,Number,"Occupation - 4 Occupations in education, law and social, community and government services"
OCCUPATION_ART_CULTURE_REC,Number,"Occupation - 5 Occupations in art, culture, recreation and sport"
OCCUPATION_SALES_SERVICE,Number,Occupation - 6 Sales and service occupations
OCCUPATION_TRADES,Number,"Occupation - 7 Trades, transport and equipment operators and related occupations"
OCCUPATION_RESOURCES_AG,Number,"Occupation - 8 Natural resources, agriculture and related production occupations"
OCCUPATION_MANUFACTURING,Number,Occupation - 9 Occupations in manufacturing and utilities
COMMUTE_MEDIAN,Number,Median commuting duration (minutes)
LABORFORCE_PARTICIPATION_MALE,Number,Labour force participation rate - male
LABORFORCE_PARTICIPATION_FEMALE,Number,Labour force participation rate - female
