FIELD,TYPE,DESCRIPTION
CENSUS_SUBDIVISION_ID,Varchar2,"CENSUS_SUBDIVISION_ID: is a foreign Key to link to CENSUS_SUBDIVISION_ID in CEN_CENSUS_SUBDIVISIONS, e.g., 5901022. This field combining with CENSUS_POP_NHS_YEAR is the primary key of ECON_CENSUS_SUBDIV_POP_NHS_TBL table. "
FLAG,Varchar2,QUALITY_QLFD_POPULATION_IND: an indicator of whether or not Statistics Canada has qualified the accuracy of any of the data on which the population fields in this record are based. Statistics Canada qualifies the accuracy of each field in the Population Census (http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-dwnld-tlchrgr.cfm?Lang=E) data.  (See http://www.statcan.gc.ca/concepts/definitions/guide-symbol-signes-eng.htm for a list of qualifications). ÒYÓ indicates that at least one field value in the source data has been qualified; ÒNÓ indicates that no field value has been qualified.
POP_TOTAL,Number,"POP_TOTAL: Population - Total. e.g., 19319"
POP_4UNDER,Number,"POP_4UNDER: Population - 0 to 4 years. e.g., 1075"
POP_5_9,Number,"POP_5_9: Population - 5 to 9 years. e.g., 1090"
POP_10_14,Number,"POP_10_14: Population - 10 to 14 years. e.g., 1080"
POP_15,Number,"POP_15: Population - 15 years. e.g., 260"
POP_16,Number,"POP_16: Population - 16 years. e.g., 260"
POP_17,Number,"POP_17: Population - 17 years. e.g., 235"
POP_18,Number,"POP_18: Population - 18 years. e.g., 265"
POP_19,Number,"POP_19: Population - 19 years. e.g., 235"
POP_20_24,Number,"POP_20_24: Population - 20 to 24 years. e.g., 1060"
POP_25_29,Number,"POP_25_29: Population - 25 to 29 years. e.g., 1150"
POP_30_34,Number,"POP_30_34: Population - 30 to 34 years. e.g., 1075"
POP_35_39,Number,"POP_35_39: Population - 35 to 39 years. e.g., 1100"
POP_40_44,Number,"POP_40_44: Population - 40 to 44 years. e.g., 1185"
POP_45_49,Number,"POP_45_49: Population - 45 to 49 years. e.g., 1450"
POP_50_54,Number,"POP_50_54: Population - 50 to 54 years. e.g., 1490"
POP_55_59,Number,"POP_55_59: Population - 55 to 59 years. e.g., 1490"
POP_60_64,Number,"POP_60_64: Population - 60 to 64 years. e.g., 1360"
POP_65_69,Number,"POP_65_69: Population - 65 to 69 years. e.g., 1035"
POP_70_74,Number,"POP_70_74: Population - 70 to 74 years. e.g., 820"
POP_75_79,Number,"POP_75_79: Population - 75 to 79 years. e.g., 640"
POP_80_84,Number,"POP_80_84: Population - 80 to 84 years. e.g., 515"
POP_85PLUS,Number,"POP_85PLUS: Population - 85 years and over. e.g., 445"
HSHLD_N,Number,"HSHLD_N: Total number of private households. e.g., 8140"
GNR,Varchar2,QUALITY_QLFD_NHS_IND: an indicator of whether or not Statistics Canada has qualified the accuracy of any of the data on which the National Household Survey (NHS) fields in this record are based. Statistics Canada qualifies the accuracy of each field in the NHS (http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E) data.  (See http://www.statcan.gc.ca/concepts/definitions/guide-symbol-signes-eng.htm for a list of qualifications). ÒYÓ indicates that at least one field value in the source data has been qualified; ÒNÓ indicates that no field value has been qualified.
HSHLDINCOME_MEDIAN,Number,"HSHLDINCOME_MEDIAN: Median household total income, 2010 ($). e.g., 57700"
HSHLDINCOME_5KUNDER,Number,"HSHLDINCOME_5KUNDER: Household total income in 2010 of private households - Under $5,000 (count). e.g., 515"
HSHLDINCOME_5K_10K,Number,"HSHLDINCOME_5K_10K: Household total income in 2010 of private households - $5,000 to $9,999 (count). e.g., 245"
HSHLDINCOME_10K_15K,Number,"HSHLDINCOME_10K_15K: Household total income in 2010 of private households - $10,000 to $14,999 (count). e.g., 560"
HSHLDINCOME_15K_20K,Number,"HSHLDINCOME_15K_20K: Household total income in 2010 of private households - $15,000 to $19,999 (count). e.g., 1035"
