riding_id,riding_name,mp_name,mp_party
-6503,Vancouver Quadra,Joyce Murray,Liberal
-6527,Fleetwood - Port Kells,Nina Grewal,Conservative
-6529,Pitt Meadows - Maple Ridge - Mission,Randy Kamp,Conservative
-6509,South Surrey - White Rock - Cloverdale,Russ Hiebert,Conservative
-6508,Surrey North,Jasbir Sandhu,New Democratic Party
-6507,Vancouver Centre,Hedy Fry,Liberal
-6516,Okanagan - Coquihalla,Dan Albas,Conservative
-6502,Vancouver South,Wai Young,Conservative
-6513,Richmond,Alice Wong,Conservative
-6518,Okanagan - Shuswap,Colin Mayes,Conservative
-6510,British Columbia Southern Interior,Alex Atamanenko,New Democratic Party
-6525,Kelowna - Lake Country,Ronald Cannan,Conservative
-6517,North Vancouver,Andrew Saxton,Conservative
-6528,Esquimalt - Juan de Fuca,Randall Garrison,New Democratic Party
-6504,Vancouver Kingsway,Don Davies,New Democratic Party
-6506,Vancouver East,Libby Davies,New Democratic Party
-6523,Langley,Mark Warawa,Conservative
-6511,Skeena - Bulkley Valley,Nathan Cullen,New Democratic Party
-6535,Abbotsford,Edward Fast,Conservative
-6522,Nanaimo - Alberni,James Lunney,Conservative
-6514,Prince George - Peace River,Bob Zimmer,Conservative
-6532,Cariboo - Prince George,Richard M. Harris,Conservative
-6521,Nanaimo - Cowichan,Jean Crowder,New Democratic Party
-6501,Victoria,Murray Rankin,New Democratic Party
-6505,Vancouver Island North,John Duncan,Conservative
-6500,West Vancouver - Sunshine Coast - Sea to Sky Country,John Weston,Conservative
-6524,Kootenay - Columbia,David Wilks,Conservative
-6519,New Westminster - Coquitlam,Fin Donnelly,New Democratic Party
-6531,Chilliwack - Fraser Canyon,Mark Strahl,Conservative
-6520,Newton - North Delta,Jinny Jogindera Sims,Liberal
-6534,Burnaby - Douglas,Kennedy Stewart,New Democratic Party
-6515,Port Moody - Westwood - Port Coquitlam,James Moore,Conservative
-6533,Burnaby - New Westminster,Peter Julian,New Democratic Party
-6530,Delta - Richmond East,Kerry-Lynne D. Findlay,Conservative
-6526,Kamloops - Thompson - Cariboo,Cathy McLeod,Conservative
-6512,Saanich - Gulf Islands,Elizabeth May,Green Party
