census_subdivision_id,clab_id,federal_riding_id
5915011,(null),-6520
5915004,(null),-6520
5915004,(null),-6508
5915022,(null),-6504
5915022,(null),-6507
5915022,(null),-6506
5915022,(null),-6502
5915022,(null),-6503
5915004,(null),-6527
5915034,(null),-6519
5915043,(null),-6519
5915025,(null),-6533
5917021,(null),-6512
5921007,(null),-6522
5953023,(null),-6532
5915015,(null),-6530
5915029,(null),-6533
5915029,(null),-6533
5915029,(null),-6519
5915029,(null),-6519
5915004,(null),-6509
5917021,(null),-6528
5915015,(null),-6513
5953023,(null),-6514
5915805,(null),-6519
5921007,(null),-6521
5915025,(null),-6534
5915043,(null),-6515
5915034,(null),-6515
5931020,(null),-6500
5915011,(null),-6530
5915046,(null),-6517
5933035,(null),-6516
5935029,(null),-6516
5935016,(null),-6525
5915070,(null),-6529
5935010,(null),-6525
5915039,(null),-6515
5915002,(null),-6523
5909878,(null),-6535
5915051,(null),-6517
5909052,(null),-6535
5915001,(null),-6523
5915038,(null),-6515
5917034,(null),-6501
5915036,(null),-6515
5909056,(null),-6529
5933808,(null),-6516
5915075,(null),-6529
5917040,(null),-6528
5959007,(null),-6514
5933817,(null),-6526
5915803,(null),-6503
5917015,(null),-6512
5909020,(null),-6531
5915055,(null),-6500
5933838,(null),-6518
5937014,(null),-6518
5901801,(null),-6524
5949032,(null),-6511
5901006,(null),-6524
5907805,(null),-6510
5901804,(null),-6524
5901803,(null),-6524
5941882,(null),-6532
5933884,(null),-6518
5923808,(null),-6522
5909835,(null),-6531
5943008,(null),-6505
5937028,(null),-6518
5933844,(null),-6531
5933019,(null),-6531
5933074,(null),-6526
5917809,(null),-6528
5955803,(null),-6514
5933812,(null),-6531
5909819,(null),-6531
5909806,(null),-6531
5915062,(null),-6500
5951815,(null),-6511
5951022,(null),-6511
5933024,(null),-6531
5924034,(null),-6505
5924804,(null),-6505
5901043,(null),-6524
5941802,(null),-6526
5924812,(null),-6505
5903045,(null),-6510
5931814,(null),-6531
5933054,(null),-6518
5909804,(null),-6531
5909837,(null),-6531
5951818,(null),-6511
5955010,(null),-6514
5933067,(null),-6526
5933028,(null),-6526
5937010,(null),-6518
5933801,(null),-6516
5917041,(null),-6528
5926005,(null),-6505
5933834,(null),-6531
5926010,(null),-6505
5919822,(null),-6521
5901022,(null),-6524
5903004,(null),-6524
5926014,(null),-6505
(null),7095,-6505
5955014,(null),-6514
5957804,(null),-6511
5919814,(null),-6521
5955804,(null),-6514
5919012,(null),-6521
5943813,(null),-6505
5924805,(null),-6505
5901003,(null),-6524
5937033,(null),-6518
5941801,(null),-6532
5917811,(null),-6528
5901012,(null),-6524
5959806,(null),-6514
5951013,(null),-6511
5955034,(null),-6514
5951009,(null),-6511
5905005,(null),-6510
5929005,(null),-6500
5949812,(null),-6511
5949815,(null),-6511
5947806,(null),-6511
5949814,(null),-6511
5949816,(null),-6511
5947807,(null),-6511
5924025,(null),-6505
5939007,(null),-6524
5905032,(null),-6510
5951032,(null),-6511
5905042,(null),-6510
5943806,(null),-6505
5943809,(null),-6505
5949811,(null),-6511
5949803,(null),-6511
5919801,(null),-6521
5955808,(null),-6514
5909027,(null),-6531
5949022,(null),-6511
5945801,(null),-6511
5923824,(null),-6522
5933819,(null),-6526
5917049,(null),-6528
5924840,(null),-6505
5909009,(null),-6531
5951034,(null),-6511
5955025,(null),-6514
5923801,(null),-6522
5923803,(null),-6522
5901039,(null),-6524
5949832,(null),-6511
(null),(null),-6524
5926801,(null),-6505
5924806,(null),-6505
5933042,(null),-6526
5933882,(null),-6531
5903023,(null),-6510
5915830,(null),-6529
5909032,(null),-6531
5907009,(null),-6510
5901028,(null),-6524
5949813,(null),-6511
5949802,(null),-6511
5949005,(null),-6511
5949807,(null),-6511
5949804,(null),-6511
5924820,(null),-6505
5955807,(null),-6514
5943815,(null),-6505
5915816,(null),-6523
5909821,(null),-6531
(null),7029,-6505
5943837,(null),-6505
5919021,(null),-6521
5951827,(null),-6511
5919016,(null),-6521
5919812,(null),-6521
5917044,(null),-6528
5921008,(null),-6522
5947809,(null),-6511
