census_division_id,regional_govt_chair_name,regional_govt_chair_city
5923,Josie Osborne,Tofino
5951,Bill Miller,Electoral Area B (Burns Lake Rural)
5917,Nils Jensen,Oak Bay
5941,Al Richmond,Electoral Area G (Lac La Hache - 108 Mile Ranch)
5945,Reginald Moody-Humchitt,Electoral Area B (Bella Bella)
5903,Karen Hamling,Nakusp (Village)
5935,Gail Given,Kelowna (City)
5939,Rhona Martin,Electoral Area E (Rural Sicamous-Malakwa)
5926,Bruce Jolliffe,Electoral Area A (Baynes Sound-Denman/Hornby Islands)
5919,Jon Lefebure,North Cowichan (District)
5901,Rob Gay,Electoral Area C
5909,Sharon Gaetz,Chilliwack (City)
5953,Art Kaehn,Electoral Area E (Woodpecker – Hixon)
5915,Greg Moore,Port Coquitlam (City)
5949,Stacey Tyers,Terrace (City)
5905,Grace McGregor,Electoral Area C (Christina Lake)
5943,Dave Rushton,Electoral Area D
5921,Joe Stanhope,"Electoral Area G (Dashwood, Englishman River, French Creek)"
5937,Rick Fairbairn,Electoral Area D
5907,Mark Pendergraft,Electoral Area A (Osoyoos Rural)
5955,Lori Ackerman,Fort St. John (City)
5927,Patrick Brabazon,Electoral Area A
5947,Barry Pages,Masset (Village)
5931,Jack Crompton,Whistler (Resort Municipality)
5924,Jim Abram,Electoral Area C (Discovery Islands-Mainland Inlets)
5929,Garry Nohr,Electoral Area B (Halfmoon Bay)
5933,John Ranta,Cache Creek (Village)
