labour_market_exprep_id,census_year,geography_id,geography_name,projection_start_year,projection_end_year,occupation_code,occupation_description,occupation_characteristic,expansion_or_replacement_value
,2011,59,British Columbia,2010,2020,NOC001,Legislators and senior management,Expansion,3930
,2011,59,British Columbia,2010,2020,NOC001,Legislators and senior management,Replacement,11160
,2011,59,British Columbia,2010,2020,NOC001,Legislators and senior management,Total,15090
,2011,59,British Columbia,2010,2020,NOC011,Administrative services managers,Expansion,2970
,2011,59,British Columbia,2010,2020,NOC011,Administrative services managers,Replacement,7600
,2011,59,British Columbia,2010,2020,NOC011,Administrative services managers,Total,10570
,2011,59,British Columbia,2010,2020,NOC012,Managers in financial and business services,Expansion,2600
,2011,59,British Columbia,2010,2020,NOC012,Managers in financial and business services,Replacement,9330
,2011,59,British Columbia,2010,2020,NOC012,Managers in financial and business services,Total,11930
,2011,59,British Columbia,2010,2020,NOC013,Managers in communication (except broadcasting),Expansion,290
,2011,59,British Columbia,2010,2020,NOC013,Managers in communication (except broadcasting),Replacement,600
,2011,59,British Columbia,2010,2020,NOC013,Managers in communication (except broadcasting),Total,890
,2011,59,British Columbia,2010,2020,NOC021,"Managers in engineering, architecture, science and information systems",Expansion,1370
,2011,59,British Columbia,2010,2020,NOC021,"Managers in engineering, architecture, science and information systems",Replacement,2690
,2011,59,British Columbia,2010,2020,NOC021,"Managers in engineering, architecture, science and information systems",Total,4060
,2011,59,British Columbia,2010,2020,NOC031,"Managers in health, education, social and community services",Expansion,1930
,2011,59,British Columbia,2010,2020,NOC031,"Managers in health, education, social and community services",Replacement,5430
,2011,59,British Columbia,2010,2020,NOC031,"Managers in health, education, social and community services",Total,7360
,2011,59,British Columbia,2010,2020,NOC041,Managers in public administration,Expansion,200
,2011,59,British Columbia,2010,2020,NOC041,Managers in public administration,Replacement,770
,2011,59,British Columbia,2010,2020,NOC041,Managers in public administration,Total,970
,2011,59,British Columbia,2010,2020,NOC051,"Managers in art, culture, recreation and sport",Expansion,620
,2011,59,British Columbia,2010,2020,NOC051,"Managers in art, culture, recreation and sport",Replacement,1380
,2011,59,British Columbia,2010,2020,NOC051,"Managers in art, culture, recreation and sport",Total,2000
,2011,59,British Columbia,2010,2020,NOC061,"Sales, marketing and advertising managers",Expansion,3480
,2011,59,British Columbia,2010,2020,NOC061,"Sales, marketing and advertising managers",Replacement,8200
,2011,59,British Columbia,2010,2020,NOC061,"Sales, marketing and advertising managers",Total,11680
,2011,59,British Columbia,2010,2020,NOC062,Managers in retail trade,Expansion,6200
,2011,59,British Columbia,2010,2020,NOC062,Managers in retail trade,Replacement,19930
,2011,59,British Columbia,2010,2020,NOC062,Managers in retail trade,Total,26130
,2011,59,British Columbia,2010,2020,NOC063,Managers in food service and accommodation,Expansion,3590
,2011,59,British Columbia,2010,2020,NOC063,Managers in food service and accommodation,Replacement,7630
,2011,59,British Columbia,2010,2020,NOC063,Managers in food service and accommodation,Total,11220
,2011,59,British Columbia,2010,2020,NOC064,Managers in protective services,Expansion,160
,2011,59,British Columbia,2010,2020,NOC064,Managers in protective services,Replacement,750
