geography_id,geography_name,unemployment_current,unemployment_y1,unemployment_y2
6,British Columbia,6.1,6.8,6.8
5950,Cariboo,5.8,5.2,4.6
5940,Kootenay,5.6,6.9,6.8
5920,Lower Mainland-Southwest,6.2,7,7.2
5960,North Coast,10,11.5,11.8
5970,Nechako,10,11.5,11.8
5980,Northeast,3.9,5.8,5.7
5930,Thompson-Okanagan,6.2,7.2,6.8
5910,Vancouver Island and Coast,6.2,5.6,5.1
59933,Vancouver,6.1,,
59932,Abbotsford,7.4,,
59935,Victoria,5.5,,
59938,Nanaimo,7.7,,
59925,Kamloops,8.3,,
59918,Vernon,NA,,
59915,Kelowna,5.1,,
59970,Prince George,5.2,,
