census_year,census_division_id,projection_year,number_of_households,pop_lt1,pop_1_4,pop_5_9,pop_10_14,pop_15_19,pop_20_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_60_64,pop_65_69,pop_70_74,pop_75_79,pop_80_84,pop_85_89,pop_90plus,total_population
2011,5901,2012,24635,569,2486,2983,2885,3524,3020,3414,3570,3514,3733,4096,4987,4862,4287,3310,2416,1667,1253,751,376,57703
2011,5901,2013,24689,537,2388,3000,2764,3391,2968,3322,3587,3505,3745,3864,4918,4936,4346,3486,2526,1666,1312,787,397,57445
2011,5901,2014,24916,506,2320,3038,2778,3258,3096,3165,3622,3554,3644,3800,4768,4927,4441,3685,2607,1803,1281,861,426,57580
2011,5901,2015,25178,505,2245,3097,2747,3143,3210,3095,3618,3618,3557,3732,4567,4930,4507,3955,2678,1912,1289,893,481,57779
2011,5901,2016,25448,505,2176,3091,2859,3001,3273,3034,3627,3634,3573,3741,4335,4900,4623,4080,2835,2002,1315,893,522,58019
2011,5901,2017,25678,505,2133,3063,2953,2870,3359,3022,3528,3755,3597,3764,4095,4853,4704,4103,3067,2103,1337,916,560,58287
2011,5901,2018,25931,503,2114,3008,3052,2763,3348,3081,3525,3760,3602,3760,3853,4846,4819,4136,3241,2243,1365,949,591,58559
2011,5901,2019,26124,501,2116,2946,3101,2785,3220,3225,3393,3827,3693,3676,3798,4708,4814,4231,3425,2321,1480,927,641,58828
2011,5901,2020,26325,501,2113,2896,3169,2760,3104,3344,3341,3840,3770,3615,3732,4519,4823,4299,3685,2390,1568,938,682,59089
2011,5901,2021,26476,500,2109,2840,3166,2871,2964,3424,3282,3860,3789,3645,3740,4296,4805,4418,3800,2524,1647,958,706,59344
2011,5901,2022,26627,499,2105,2802,3135,2961,2848,3515,3273,3760,3913,3672,3766,4060,4759,4509,3822,2734,1744,971,739,59587
2011,5901,2023,26783,498,2104,2796,3083,3056,2749,3503,3338,3756,3925,3682,3764,3818,4754,4627,3858,2896,1860,996,757,59820
2011,5901,2024,26947,495,2105,2808,3029,3099,2775,3377,3488,3621,3995,3773,3681,3759,4623,4626,3950,3066,1924,1086,763,60043
2011,5901,2025,27093,495,2101,2807,2992,3165,2754,3266,3613,3572,4006,3851,3621,3694,4439,4636,4015,3300,1984,1154,784,60249
2011,5901,2026,27250,496,2094,2813,2952,3168,2862,3144,3694,3511,4025,3876,3653,3704,4215,4613,4125,3401,2097,1211,795,60449
2011,5901,2027,27398,495,2092,2813,2927,3144,2939,3034,3792,3504,3926,3999,3677,3730,3983,4567,4207,3425,2276,1286,815,60631
2011,5901,2028,27471,496,2091,2814,2924,3096,3026,2942,3786,3570,3923,4014,3691,3723,3744,4558,4313,3456,2419,1371,844,60801
2011,5901,2029,27539,495,2095,2812,2938,3042,3064,2976,3663,3719,3789,4089,3786,3645,3690,4426,4315,3533,2566,1425,891,60959
2011,5901,2030,27615,496,2094,2811,2947,3006,3133,2953,3559,3839,3741,4102,3865,3585,3631,4256,4325,3589,2760,1472,937,61101
2011,5901,2031,27667,493,2095,2810,2953,2970,3139,3053,3442,3924,3682,4121,3887,3617,3644,4045,4304,3688,2834,1559,969,61229
2011,5901,2032,27722,495,2092,2806,2957,2946,3121,3129,3333,4024,3676,4024,4013,3644,3668,3823,4260,3767,2852,1698,1021,61349
2011,5901,2033,27782,494,2093,2803,2957,2944,3080,3217,3242,4017,3741,4026,4035,3658,3664,3603,4253,3863,2882,1803,1073,61448
2011,5901,2034,27837,494,2093,2804,2956,2957,3036,3256,3279,3896,3887,3896,4107,3752,3588,3557,4130,3865,2950,1903,1131,61537
2011,5901,2035,27892,494,2092,2803,2950,2971,3005,3335,3258,3792,4007,3851,4119,3836,3524,3510,3965,3877,3000,2048,1174,61611
2011,5901,2036,27948,495,2093,2804,2944,2976,2966,3348,3363,3677,4090,3796,4139,3857,3559,3521,3771,3860,3084,2097,1235,61675
2011,5901,2037,27999,496,2095,2805,2940,2986,2938,3335,3449,3570,4187,3797,4044,3981,3587,3542,3569,3816,3148,2113,1330,61728
2011,5901,2038,28045,495,2098,2804,2937,2985,2936,3303,3545,3482,4178,3858,4047,3998,3599,3535,3373,3817,3229,2135,1414,61768
2011,5901,2039,28085,498,2099,2810,2943,2984,2950,3262,3585,3521,4056,4005,3920,4068,3695,3457,3327,3709,3230,2186,1492,61797
2011,5901,2040,28124,499,2103,2811,2943,2980,2962,3233,3664,3502,3951,4123,3878,4077,3773,3402,3279,3565,3244,2240,1593,61822
2011,5901,2041,28161,500,2105,2815,2946,2976,2967,3196,3682,3611,3835,4203,3825,4099,3793,3442,3284,3388,3239,2299,1638,61843
2011,5903,2012,26331,459,2224,2868,3123,3459,2824,2854,3277,3686,3756,4066,4874,5142,4912,4004,2732,2128,1541,926,490,59345
2011,5903,2013,26320,427,2066,2857,3026,3347,2758,2645,3278,3665,3751,3832,4792,5202,4995,4302,2875,2176,1554,944,533,59025
2011,5903,2014,26511,470,1939,2850,3037,3304,2921,2569,3225,3667,3720,3748,4707,5075,5040,4510,3050,2189,1591,979,576,59167
2011,5903,2015,26729,472,1936,2772,3036,3258,3084,2585,3148,3599,3773,3680,4575,5009,5046,4698,3191,2281,1592,1036,607,59378
2011,5903,2016,26969,476,1915,2770,3036,3150,3234,2626,3110,3550,3743,3794,4318,4914,5115,4793,3384,2337,1679,1060,631,59635
2011,5903,2017,27153,474,1941,2772,2983,3134,3305,2683,3013,3521,3816,3887,4070,4840,5127,4719,3713,2413,1735,1101,673,59920
2011,5903,2018,27311,473,1993,2696,3037,3090,3293,2839,2862,3556,3878,3863,3910,4779,5088,4768,3980,2535,1741,1122,701,60204
2011,5903,2019,27487,475,1999,2638,3050,3115,3246,3012,2800,3524,3905,3854,3845,4718,4978,4816,4182,2692,1754,1145,743,60491
2011,5903,2020,27643,478,2004,2646,2984,3131,3206,3179,2828,3472,3850,3923,3786,4606,4929,4820,4360,2822,1834,1141,782,60781
2011,5903,2021,27816,484,2009,2632,2988,3137,3104,3328,2877,3449,3810,3901,3901,4361,4852,4889,4449,2993,1888,1205,804,61061
2011,5903,2022,27950,480,2021,2657,2991,3087,3096,3395,2940,3353,3785,3976,3995,4125,4788,4908,4381,3287,1961,1256,847,61329
2011,5903,2023,28071,484,2030,2713,2922,3143,3061,3382,3100,3200,3831,4041,3975,3966,4738,4867,4432,3520,2066,1260,862,61593
2011,5903,2024,28147,487,2038,2730,2869,3158,3089,3343,3283,3139,3804,4074,3967,3899,4682,4765,4476,3696,2188,1273,888,61848
2011,5903,2025,28228,494,2046,2743,2884,3099,3105,3307,3454,3171,3751,4023,4032,3844,4569,4716,4483,3857,2294,1332,896,62100
2011,5903,2026,28273,497,2056,2757,2874,3111,3119,3215,3611,3220,3730,3989,4014,3956,4327,4647,4544,3939,2428,1377,935,62346
2011,5903,2027,28305,502,2074,2767,2908,3120,3063,3228,3683,3291,3638,3974,4089,4047,4098,4587,4553,3878,2679,1432,974,62585
2011,5903,2028,28360,506,2092,2780,2968,3054,3109,3199,3680,3450,3492,4015,4152,4030,3944,4538,4519,3935,2863,1507,983,62816
2011,5903,2029,28411,509,2112,2792,2986,3003,3120,3229,3651,3628,3431,3993,4186,4021,3881,4487,4424,3974,3011,1602,995,63035
2011,5903,2030,28458,513,2126,2812,3000,3019,3065,3245,3624,3796,3469,3945,4138,4088,3826,4374,4383,3970,3144,1686,1025,63248
2011,5903,2031,28524,513,2142,2824,3015,3014,3079,3259,3534,3954,3518,3924,4105,4068,3935,4149,4314,4034,3204,1786,1077,63448
2011,5903,2032,28598,514,2154,2845,3024,3046,3099,3200,3556,4021,3587,3833,4089,4146,4022,3931,4260,4043,3163,1972,1131,63636
2011,5903,2033,28678,513,2160,2866,3039,3105,3040,3246,3532,4021,3746,3689,4132,4207,4008,3789,4221,4004,3214,2104,1179,63815
2011,5903,2034,28775,515,2163,2885,3053,3123,3000,3259,3570,3992,3924,3630,4110,4237,4004,3730,4176,3918,3240,2217,1231,63977
2011,5903,2035,28858,514,2164,2901,3071,3135,3020,3206,3590,3970,4089,3668,4060,4195,4065,3686,4072,3884,3241,2306,1293,64130
2011,5903,2036,28947,519,2165,2918,3084,3151,3010,3225,3611,3885,4240,3718,4038,4164,4051,3790,3863,3824,3297,2352,1373,64278
2011,5903,2037,29031,519,2170,2933,3106,3165,3035,3254,3551,3910,4308,3786,3947,4148,4132,3873,3665,3776,3303,2319,1515,64415
2011,5903,2038,29114,520,2177,2937,3131,3186,3088,3200,3612,3891,4305,3945,3808,4185,4186,3872,3528,3743,3283,2359,1591,64547
2011,5903,2039,29196,525,2186,2942,3153,3200,3103,3155,3626,3932,4275,4123,3752,4164,4213,3871,3478,3706,3211,2382,1676,64673
2011,5903,2040,29274,523,2198,2946,3171,3221,3116,3172,3581,3958,4255,4292,3792,4113,4171,3930,3431,3620,3178,2385,1738,64791
2011,5903,2041,29351,525,2202,2952,3187,3237,3133,3165,3604,3982,4168,4448,3843,4093,4141,3915,3529,3431,3129,2434,1791,64909
2011,5905,2012,14158,249,1140,1438,1527,1853,1468,1416,1508,1653,1789,2190,2711,2917,2728,2162,1630,1258,992,548,302,31479
2011,5905,2013,13946,211,1104,1448,1465,1707,1436,1318,1491,1592,1762,1994,2594,2917,2701,2248,1663,1299,996,572,318,30836
2011,5905,2014,14000,226,1046,1412,1486,1660,1520,1280,1467,1597,1741,1849,2562,2827,2753,2349,1696,1334,1015,604,345,30769
2011,5905,2015,14066,226,1029,1402,1441,1607,1620,1272,1443,1594,1669,1846,2391,2844,2768,2439,1771,1366,1019,627,366,30740
2011,5905,2016,14144,228,951,1412,1463,1555,1687,1294,1457,1533,1668,1830,2210,2802,2787,2566,1800,1424,1005,669,391,30732
