TAX_YEAR,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,CAT,REG,ITEM,VAC,PROPERTY_CLASS_CODE_OIC,PROPERTY_CLASS_DESCRIPTION,PROPERTY_TAX_LEVY_DESCRIPTION,TAX_RATE
2014,701,Fernie Rural,AA,,G,A,1,Residential,GEN RESIDENTIAL,0.56
2014,701,Fernie Rural,AA,,G,A,2,Utilities,GEN UTILITIES,3.82
2014,701,Fernie Rural,AA,,G,A,3,Supportive Housing,GEN SUPPORTIVE HSNG,0.1
2014,701,Fernie Rural,AA,,G,A,4,Major Industry,GEN MAJOR INDUSTRY,5.34
2014,701,Fernie Rural,AA,,G,A,5,Light Industry,GEN LIGHT INDUSTRY,2.91
2014,701,Fernie Rural,AA,,G,A,6,Business and Other,GEN BUSINESS/OTHER,2.91
2014,701,Fernie Rural,AA,,G,A,7,Managed Forest Land,GEN MANAGED FOR.,0.56
2014,701,Fernie Rural,AA,,G,A,8,Recreation/Non-Profit,GEN RECN/NON-PROFIT,0.94
2014,701,Fernie Rural,AA,,G,A,9,Farm,GEN FARM,0.52
2014,701,Fernie Rural,AB,05,S,S,1,Residential,SCH RESIDENTIAL,2.4999
2014,701,Fernie Rural,AB,05,S,S,2,Utilities,SCH UTILITIES,13.6
2014,701,Fernie Rural,AB,05,S,S,3,Supportive Housing,SCH SUSTAIN HOUSING,0.1
2014,701,Fernie Rural,AB,05,S,S,4,Major Industry,SCH MAJOR INDUSTRY,6
2014,701,Fernie Rural,AB,05,S,S,5,Light Industry,SCH LIGHT INDUSTRY,6
2014,701,Fernie Rural,AB,05,S,S,6,Business and Other,SCH BUSINESS/OTHER,6
2014,701,Fernie Rural,AB,05,S,S,7,Managed Forest Land,SCH MANAGED FOREST,2.4
2014,701,Fernie Rural,AB,05,S,S,8,Recreation/Non-Profit,SCH RECN/NON-PROFIT,3.4
2014,701,Fernie Rural,AB,05,S,S,9,Farm,SCH FARM,6.9
2014,701,Fernie Rural,AC,01,E,D,1,Residential,KOOTENAY EAST HOSP,0.1615
2014,701,Fernie Rural,AC,01,E,D,2,Utilities,KOOTENAY EAST HOSP,0.5653
2014,701,Fernie Rural,AC,01,E,D,3,Supportive Housing,KOOTENAY EAST HOSP,0.1615
