CENSUS_DIVISION_ID,DCC_RESIDENTIAL_SFD,DCC_RESIDENTIAL_MFD,DCC_COMMERCIAL,DCC_INDUSTRIAL,DCC_NOTES
5923,3600,,9.04,-,
5917,2655-4263,,9.76 - 13.49,5.29-8.72,
5939,327,,0.43,-,
5926,"8,528*",,6058,6058,*Black creek oyster bay water local service area per unit created
5909,"2,317 - 6,058",,5.05,2.45,
5915,1100,,1100,-,
5905,4500,,,,Beaver Valley Water Service
5943,315,,,,
5921,"4,619 - 4,688",,9.47 -9.6,9.47-9.60,
5937,5824,,7.27,3.63,
5907,15200,,,-,
5927,1500,,0,-,
5929,"1,650 - 3,000",,.86 - 6.03,.82 - 6,
5933,"1,239 - 1,503",,.12 - 15.30,.12 -.15*,"*Under one hectare, there is a flat charge of $4,086; charges shown on this list are based on 1 to 2 hectares."
