CENSUS_SUBDIVISION_ID,DCC_RESIDENTIAL_SFD,DCC_RESIDENTIAL_MFD,DCC_COMMERCIAL,DCC_INDUSTRIAL,DCC_NOTES
5901003,"1,856 - 2,072",,1.19 - 4.95,-,
5901012,12017,,109.63,68.32,
5901022,2032,,31.39,3.22,
5901039,9480,,67.99,45.39,
5901040,4642.87,"4,107.15*",23.22,0,"*Townhouse: various rates, refer to bylaw for specifics"
5903004,3112.64,,19.5,15.16,
5903011,542,,5.38,5.42,
5903045,4803,,12.27,5.66,
5903050,11316,,,,
5905005,1500,,3.24,3.17,
5905014,"1,622 - 2,898",,1.72 - 5.60,.29 - 1.45,
5905023,3329,,16.65,-,
5905032,4812,,9.04,6.73,
5907005,9663,,29.71*,14.85,"*In addition to the above charges, a parkland charge of $2,040 is applicable to each motel or hotel unit"
5907009,"3,770 - 6,040*",,18.40 - 62.62*,-,"*Various rates, refer to bylaw for specifics"
5907014,"4,309 - 6,170",,13.27 - 30.18,6.47,
5907024,"2,100 - 2,500",,-,-,
5907035,8612,,26.77,4.08,
5907041,"17,528*",,166.46,0,*Charges on this list relate to the City Wide Periphery Area.
5909009,8082,,20.13,12.78,
5909020,23121,"16,863*",40.35,20.13,"*Various rates, refer to bylaw for specifics"
5909027,18594,14733,95,0,
5909032,"10,721*",7259,131.68,20.22,*Schedule A1 Aggassiz townsite area
5909052,29621,77.22*,93.17**,24.12,"*Various rates, refer to bylaw for specifics**Charges for drainage based on gross site area in hectares "
5909056,"13,328*",,82.84*,2.05**,"*Area A Charges**Many diff charges, please refer to bylaw"
5915001,"21,635*",,53.46**,19.32,"*Residential 2 base, **Commercial Base 2"
5915002,18409,9549*,73.55,32.65,*Apartment
5915004,"26,081*",14.90**,9.37***,"72,879****","*Zone RA**per sq foot, various rates, refer to bylaw for specifics***Per  sq foot commercial ground floor charges****Charges per acre - rate to be charged for developed area of the lot; total charge of $72,549 within Highway 99 Corridor"
5915007,5602,,13.54,-,
5915011,11229,,26.81,9.88,
5915015,24847.54,15.09*,11.22,8.96**,*Per sq foot**light industrial charges
5915025,6913,,8.59,-,
5915029,"10,640*",5.55**,99,.90 - 13.11,"*The City has two areas (Queensborough and Mainland) for DCC purpose. The rates on the list are based on 4000 sq ft average house in Queensborough area (per sq foot parcel area)**Townhouse: Various rates, refer to bylaw for specifics"
5915029,2.51,5.22**,,,"*Compact Lot**Apartment: Various rates, refer to bylaw for specifics"
5915034,23588,109.62,60.43,34.83,
5915038,10719,,-,-,
5915039,"6,644 - 19,063",,38.34 - 178.76,4.32 - 16.17,
5915043,3660,,11.94,2.46 - 5.19,
5915046,16181,,37.64,13.75,
5915051,49.29*,,57.35,16.82,*Charges based on per square metre of gross floor area - road $0.82 and parkland $48.47
5915055,"9,917 - 16,611",,49.5,-,
5915065,-,,-,-,
