ITEM,GST,PST,CARBON_TAX,ICE,GST_NOTE,PST_NOTE,PST_BULLETIN
Electricity - solely residential,0.05,Exempt,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",,"Bulletin PST 203 - Energy, Energy Conservation and the ICE Fund Tax"
Electricity - commercial,0.05,0.07,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",,"Bulletin PST 203 - Energy, Energy Conservation and the ICE Fund Tax"
Natural gas - solely residential,0.05,Exempt,5.7c/L,0.004,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",,"Bulletin PST 203 - Energy, Energy Conservation and the ICE Fund Tax"
Natural gas - commercial,0.05,0.07,5.7c/L,0.004,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",,"Bulletin PST 203 - Energy, Energy Conservation and the ICE Fund Tax"
Heating oil - solely residential,0.05,Exempt,7.67c/L,0.004,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",,"Bulletin PST 203 - Energy, Energy Conservation and the ICE Fund Tax"
Municipal water,,Nontaxable,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",,
Sewage services,,Nontaxable,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",,
Hazardous waste disposal,,Exempt,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",,Bulletin PST 301 - Related Services
Machinery and equipment - production (qualifying PME),,Exempt,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",Exemption must be claimed with appropriate documentation by a qualified user who will make qualified use of these goods,Bulletin PST 110 - Production Machinery and Equipment 
Machinery and equipment - non-production,,0.07,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",,
Machinery and equipment - pollution control (qualifying PME),,Exempt,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",Exemption must be claimed with appropriate documentation by a qualified user who will make qualified use of these goods,Bulletin PST 110 - Production Machinery and Equipment 
Machinery and equipment - office furniture/fixtures/equipment,0.05,0.07,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",,
Office building construction materials,0.05,0.07,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits","In most cases, the contractor is responsible for paying the PST",Bulletin PST 501 - Real Property Contractors
Industrial building construction materials,0.05,0.07,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits","In most cases, the contractor is responsible for paying the PST",Bulletin PST 501 - Real Property Contractors
Manufacturers' raw materials,0.05,Exempt,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",Exemption must be claimed with appropriate documentation,Bulletin PST 200 – PST Exemptions and Documentation Requirements 
Standard software,0.05,0.07,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",,Bulletin PST 105 - Software
Custom software (qualifying),0.05,Exempt,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",,Bulletin PST 105 - Software
Intangible property,0.05,Nontaxable,,NA,"This list is approximate - please refer to http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/menu-eng.html for more info regarding GST exemptions, zero-rated supplies and credits",,
