folder,datafile,destination,bcgw_table,bcgw_status
Climate,econ_whse_climate_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_CLIMATE_INDICATORS,PROD
DemographicsLabour,econ_whse_demographics_labour_cd_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_CENSUS_DIV_POP_NHS,DLVR
DemographicsLabour,econ_whse_demographics_labour_csd_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_CENSUS_SUBDIV_POP_NHS,DLVR
Elevation,econ_whse_elevation_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_ELEVATION_STATISTICS,PROD
LabourMarket,econ_whse_lmsm_regional_3digitnoc_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_LABOUR_MARKET_PRJCTNS,PROD
LabourMarket,econ_whse_lmsm_regional_3digitnoc_summary_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_LABOUR_MARKET_EXPREP,PROD
LabourMarket,econ_whse_labour_wages_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_LABOUR_WAGES,PROD
LabourMarket,econ_whse_unemployment_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_UNEMPLOYMENT_PRJCTNS,PROD
Languages,econ_whse_languages_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_LANGUAGES_SPOKEN,PROD
PopulationProjections,econ_whse_population_projections_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_POPULATION_PRJCTNS,PROD
Utilities,econ_whse_energy_utilities_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_ENERGY_UTILITIES,PROD
Utilities,econ_whse_telecom_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_TELECOMM_UTILITIES,PROD
Utilities,econ_whse_utility_service_areas_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_UTILITY_SERVICE_AREAS,PROD
Transportation,econ_whse_major_centers_bc.csv,BCGW,,STAGE
Communities,econ_whse_first_nations_population_bc.csv,BCGW,,STAGE
AVED,econ_whse_post_secondary_clusters_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_POST_SECONDARY_CLUSTERS,STAGE
AVED,econ_whse_post_secondary_instttns_bc.csv,BCGW,WHSE_HUMAN_CULTURAL_ECONOMIC.ECON_POST_SECONDARY_INSTTTNS,STAGE
SourcesAndNotes,econ_whse_data_source_notes_bc.csv,BCGW,,STAGE
Taxation,SalesAndIncomeTax.csv,MIT,,
Taxation,SalesTax_ItemsSubjectTo.csv,MIT,,
Government,econ_whse_gov_election_dates_bc.csv,MIT,,
Government,econ_whse_gov_local_bc.csv,MIT,,
Government,econ_whse_gov_regional_bc.csv,MIT,,
PayrollCosts,econ_whse_payroll_costs_bc.csv,MIT,,
