POST_SECONDARY_CLUSTER_ID,POST_SECONDARY_INST_ID,INSTITUTION,POST_SECONDARY_CIP_NAME,CURRENT_ACADEMIC_YEAR,CURRENT_YEAR_ENROLLMENT_NUMBER,CURRENT_YEAR_GRADUATION_NUMBER
,1,BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY,Arts and Sciences,,4155,385
,1,BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY,Business and Management,,10985,1540
,1,BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY,Developmental,,1060,100
,1,BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY,Education,,55,20
,1,BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY,Engineering and Applied Sciences,,11670,1355
,1,BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY,Health,,5615,875
,1,BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY,Human and Social Services,,805,115
,1,BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY,Personal Improvement and Leisure,,0,0
,1,BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY,Trades,,12290,1960
,1,BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY,Visual and Performing Arts,,840,145
,2,CAMOSUN COLLEGE,Arts and Sciences,,4820,320
,2,CAMOSUN COLLEGE,Business and Management,,4050,550
,2,CAMOSUN COLLEGE,Developmental,,2690,285
,2,CAMOSUN COLLEGE,Education,,5,(null)
,2,CAMOSUN COLLEGE,Engineering and Applied Sciences,,1225,295
,2,CAMOSUN COLLEGE,Health,,1410,325
,2,CAMOSUN COLLEGE,Human and Social Services,,900,215
,2,CAMOSUN COLLEGE,Personal Improvement and Leisure,,2665,0
,2,CAMOSUN COLLEGE,Trades,,2785,425
,2,CAMOSUN COLLEGE,Visual and Performing Arts,,385,40
,3,CAPILANO UNIVERSITY,Arts and Sciences,,3665,205
,3,CAPILANO UNIVERSITY,Business and Management,,2725,640
,3,CAPILANO UNIVERSITY,Developmental,,1855,20
,3,CAPILANO UNIVERSITY,Education,,135,30
,3,CAPILANO UNIVERSITY,Engineering and Applied Sciences,,240,20
,3,CAPILANO UNIVERSITY,Health,,275,140
,3,CAPILANO UNIVERSITY,Human and Social Services,,1545,345
,3,CAPILANO UNIVERSITY,Personal Improvement and Leisure,,3340,0
,3,CAPILANO UNIVERSITY,Trades,,135,10
,3,CAPILANO UNIVERSITY,Visual and Performing Arts,,1500,350
,4,COLLEGE OF NEW CALEDONIA,Arts and Sciences,,1575,40
,4,COLLEGE OF NEW CALEDONIA,Business and Management,,945,165
,4,COLLEGE OF NEW CALEDONIA,Developmental,,1290,90
,4,COLLEGE OF NEW CALEDONIA,Engineering and Applied Sciences,,735,80
,4,COLLEGE OF NEW CALEDONIA,Health,,680,120
,4,COLLEGE OF NEW CALEDONIA,Human and Social Services,,1745,125
