field,description,type
CENSUS_SUBDIVISION_ID,"CENSUS_SUBDIVISION_ID: Foreign Key, linking to CENSUS_SUBDIVISION_ID in CEN_CENSUS_SUBDIVISIONS, e.g., 5901022",string
census_year,"CENSUS YEAR is the census year that the data is collected. e.g., 2006, 2011.",integer
TMAX01,Average daily maximum air temperature (¡C) - January,float
TMAX07,Average daily maximum air temperature (¡C) - July,float
TMIN01,Average daily minimum air temperature (¡C) - January,float
TMIN07,Average daily minimum air temperature (¡C) - July,float
TAVE01,Mean temperature (¡C) - January,float
TAVE07,Mean temperature (¡C) - July,float
MAP,Mean annual Precipitation (mm),float
PAS,Precipitation as snow (mm) between August in previous year and July in current year. Note that this corresponds roughly to snowfall in cm.,float
MAR,Mean annual rainfall (mm) (MAP - PAS),float
