census_subdivision_id,census_subdivision_name,census_subdivision_type_code,census_subdivision_type_desc,census_division_id,census_division_name,economic_region_id,economic_region_name
9999,Jumbo Glacier,MRM,District Municipality,5901,East Kootenay,5940,Kootenay
5901003,Elkford,DM,District Municipality,5901,East Kootenay,5940,Kootenay
5901006,Sparwood,DM,District Municipality,5901,East Kootenay,5940,Kootenay
5901012,Fernie,CY,City,5901,East Kootenay,5940,Kootenay
5901022,Cranbrook,CY,City,5901,East Kootenay,5940,Kootenay
5901028,Kimberley,CY,City,5901,East Kootenay,5940,Kootenay
5901039,Invermere,DM,District Municipality,5901,East Kootenay,5940,Kootenay
5901040,Radium Hot Springs,VL,Village,5901,East Kootenay,5940,Kootenay
5901043,Canal Flats,VL,Village,5901,East Kootenay,5940,Kootenay
5903004,Creston,T,Town,5903,Central Kootenay,5940,Kootenay
5903011,Salmo,VL,Village,5903,Central Kootenay,5940,Kootenay
5903015,Nelson,CY,City,5903,Central Kootenay,5940,Kootenay
5903019,Slocan,VL,Village,5903,Central Kootenay,5940,Kootenay
5903023,Kaslo,VL,Village,5903,Central Kootenay,5940,Kootenay
5903027,Silverton,VL,Village,5903,Central Kootenay,5940,Kootenay
5903032,New Denver,VL,Village,5903,Central Kootenay,5940,Kootenay
5903045,Castlegar,CY,City,5903,Central Kootenay,5940,Kootenay
5903050,Nakusp,VL,Village,5903,Central Kootenay,5940,Kootenay
5905005,Fruitvale,VL,Village,5905,Kootenay Boundary,5940,Kootenay
5905009,Montrose,VL,Village,5905,Kootenay Boundary,5940,Kootenay
5905014,Trail,CY,City,5905,Kootenay Boundary,5940,Kootenay
5905018,Warfield,VL,Village,5905,Kootenay Boundary,5940,Kootenay
5905023,Rossland,CY,City,5905,Kootenay Boundary,5940,Kootenay
5905032,Grand Forks,CY,City,5905,Kootenay Boundary,5940,Kootenay
5905037,Midway,VL,Village,5905,Kootenay Boundary,5940,Kootenay
5905042,Greenwood,CY,City,5905,Kootenay Boundary,5940,Kootenay
5907005,Osoyoos,T,Town,5907,Okanagan-Similkameen,5930,Thompson--Okanagan
5907009,Keremeos,VL,Village,5907,Okanagan-Similkameen,5930,Thompson--Okanagan
5907014,Oliver,T,Town,5907,Okanagan-Similkameen,5930,Thompson--Okanagan
5907024,Princeton,T,Town,5907,Okanagan-Similkameen,5930,Thompson--Okanagan
5907035,Summerland,DM,District Municipality,5907,Okanagan-Similkameen,5930,Thompson--Okanagan
5907041,Penticton,CY,City,5907,Okanagan-Similkameen,5930,Thompson--Okanagan
5909009,Hope,DM,District Municipality,5909,Fraser Valley,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5909020,Chilliwack,CY,City,5909,Fraser Valley,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5909027,Harrison Hot Springs,VL,Village,5909,Fraser Valley,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5909032,Kent,DM,District Municipality,5909,Fraser Valley,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5909052,Abbotsford,CY,City,5909,Fraser Valley,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5909056,Mission,DM,District Municipality,5909,Fraser Valley,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915001,Langley,DM,District Municipality,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915002,Langley,CY,City,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915004,Surrey,CY,City,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915007,White Rock,CY,City,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915011,Delta,DM,District Municipality,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915015,Richmond,CY,City,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915022,Vancouver,CY,City,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915025,Burnaby,CY,City,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915029,New Westminster,CY,City,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915034,Coquitlam,CY,City,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915036,Belcarra,VL,Village,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915038,Anmore,VL,Village,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915039,Port Coquitlam,CY,City,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915043,Port Moody,CY,City,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915046,North Vancouver,DM,District Municipality,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915051,North Vancouver,CY,City,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915055,West Vancouver,DM,District Municipality,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915062,Bowen Island,IM,Island Municipality,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915065,Lions Bay,VL,Village,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915070,Pitt Meadows,CY,City,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5915075,Maple Ridge,DM,District Municipality,5915,Greater Vancouver,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5917005,North Saanich,DM,District Municipality,5917,Capital,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5917010,Sidney,T,Town,5917,Capital,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5917015,Central Saanich,DM,District Municipality,5917,Capital,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5917021,Saanich,DM,District Municipality,5917,Capital,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5917030,Oak Bay,DM,District Municipality,5917,Capital,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5917034,Victoria,CY,City,5917,Capital,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5917040,Esquimalt,DM,District Municipality,5917,Capital,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5917041,Colwood,CY,City,5917,Capital,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5917042,Metchosin,DM,District Municipality,5917,Capital,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5917044,Langford,CY,City,5917,Capital,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5917047,View Royal,T,Town,5917,Capital,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5917049,Highlands,DM,District Municipality,5917,Capital,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5917052,Sooke,DM,District Municipality,5917,Capital,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5917811,Esquimalt,IRI,Indian Reserve,5917,Capital,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5919008,North Cowichan,DM,District Municipality,5919,Cowichan Valley,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5919012,Duncan,CY,City,5919,Cowichan Valley,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5919016,Lake Cowichan,T,Town,5919,Cowichan Valley,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5919021,Ladysmith,T,Town,5919,Cowichan Valley,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5921007,Nanaimo,CY,City,5921,Nanaimo,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5921008,Lantzville,DM,District Municipality,5921,Nanaimo,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5921018,Parksville,CY,City,5921,Nanaimo,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5921023,Qualicum Beach,T,Town,5921,Nanaimo,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5923008,Port Alberni,CY,City,5923,Alberni-Clayoquot,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5923019,Ucluelet,DM,District Municipality,5923,Alberni-Clayoquot,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5923025,Tofino,DM,District Municipality,5923,Alberni-Clayoquot,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5924025,Gold River,VL,Village,5924,Strathcona,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5924029,Zeballos,VL,Village,5924,Strathcona,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5924030,Tahsis,VL,Village,5924,Strathcona,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5924034,Campbell River,CY,City,5924,Strathcona,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5924039,Sayward,VL,Village,5924,Strathcona,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5926005,Comox,T,Town,5926,Comox Valley,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5926010,Courtenay,CY,City,5926,Comox Valley,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5926014,Cumberland,VL,Village,5926,Comox Valley,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5927008,Powell River,CY,City,5927,Powell River,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5929005,Gibsons,T,Town,5929,Sunshine Coast,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5929011,Sechelt,DM,District Municipality,5929,Sunshine Coast,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5931006,Squamish,DM,District Municipality,5931,Squamish-Lillooet,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5931012,Pemberton,VL,Village,5931,Squamish-Lillooet,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5931020,Whistler,DM,District Municipality,5931,Squamish-Lillooet,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5931026,Lillooet,DM,District Municipality,5931,Squamish-Lillooet,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
5933006,Merritt,CY,City,5933,Thompson-Nicola,5930,Thompson--Okanagan
5933015,Lytton,VL,Village,5933,Thompson-Nicola,5930,Thompson--Okanagan
5933019,Ashcroft,VL,Village,5933,Thompson-Nicola,5930,Thompson--Okanagan
5933024,Cache Creek,VL,Village,5933,Thompson-Nicola,5930,Thompson--Okanagan
5933028,Clinton,VL,Village,5933,Thompson-Nicola,5930,Thompson--Okanagan
5933035,Logan Lake,DM,District Municipality,5933,Thompson-Nicola,5930,Thompson--Okanagan
5933042,Kamloops,CY,City,5933,Thompson-Nicola,5930,Thompson--Okanagan
5933045,Sun Peaks Mountain,VL,Village,5933,Thompson-Nicola,5930,Thompson--Okanagan
5933054,Chase,VL,Village,5933,Thompson-Nicola,5930,Thompson--Okanagan
5933067,Clearwater,DM,District Municipality,5933,Thompson-Nicola,5930,Thompson--Okanagan
5933074,Barriere,DM,District Municipality,5933,Thompson-Nicola,5930,Thompson--Okanagan
5935010,Kelowna,CY,City,5935,Central Okanagan,5930,Thompson--Okanagan
5935016,Lake Country,DM,District Municipality,5935,Central Okanagan,5930,Thompson--Okanagan
5935018,Peachland,DM,District Municipality,5935,Central Okanagan,5930,Thompson--Okanagan
5935029,West Kelowna,DM,District Municipality,5935,Central Okanagan,5930,Thompson--Okanagan
5937005,Lumby,VL,Village,5937,North Okanagan,5930,Thompson--Okanagan
5937010,Coldstream,DM,District Municipality,5937,North Okanagan,5930,Thompson--Okanagan
5937014,Vernon,CY,City,5937,North Okanagan,5930,Thompson--Okanagan
5937024,Spallumcheen,DM,District Municipality,5937,North Okanagan,5930,Thompson--Okanagan
5937028,Armstrong,CY,City,5937,North Okanagan,5930,Thompson--Okanagan
5937033,Enderby,CY,City,5937,North Okanagan,5930,Thompson--Okanagan
5939007,Golden,T,Town,5939,Columbia-Shuswap,5930,Thompson--Okanagan
5939019,Revelstoke,CY,City,5939,Columbia-Shuswap,5930,Thompson--Okanagan
5939032,Salmon Arm,CY,City,5939,Columbia-Shuswap,5930,Thompson--Okanagan
5939045,Sicamous,DM,District Municipality,5939,Columbia-Shuswap,5930,Thompson--Okanagan
5941005,One Hundred Mile House,DM,District Municipality,5941,Cariboo,5950,Cariboo
5941009,Williams Lake,CY,City,5941,Cariboo,5950,Cariboo
5941013,Quesnel,CY,City,5941,Cariboo,5950,Cariboo
5941025,Wells,DM,District Municipality,5941,Cariboo,5950,Cariboo
5943008,Alert Bay,VL,Village,5943,Mount Waddington,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5943012,Port McNeill,T,Town,5943,Mount Waddington,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5943017,Port Alice,VL,Village,5943,Mount Waddington,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5943023,Port Hardy,DM,District Municipality,5943,Mount Waddington,5910,Vancouver Island and Coast / Ile de Vancouver et la cote
5947007,Port Edward,DM,District Municipality,5947,Skeena-Queen Charlotte,5960,North Coast / Cote-nord
5947012,Prince Rupert,CY,City,5947,Skeena-Queen Charlotte,5960,North Coast / Cote-nord
5947023,Masset,VL,Village,5947,Skeena-Queen Charlotte,5960,North Coast / Cote-nord
5947026,Queen Charlotte,VL,Village,5947,Skeena-Queen Charlotte,5960,North Coast / Cote-nord
5947030,Port Clements,VL,Village,5947,Skeena-Queen Charlotte,5960,North Coast / Cote-nord
5949005,Kitimat,DM,District Municipality,5949,Kitimat-Stikine,5960,North Coast / Cote-nord
5949011,Terrace,CY,City,5949,Kitimat-Stikine,5960,North Coast / Cote-nord
5949022,Hazelton,VL,Village,5949,Kitimat-Stikine,5960,North Coast / Cote-nord
5949024,New Hazelton,DM,District Municipality,5949,Kitimat-Stikine,5960,North Coast / Cote-nord
5949032,Stewart,DM,District Municipality,5949,Kitimat-Stikine,5960,North Coast / Cote-nord
5951007,Vanderhoof,DM,District Municipality,5951,Bulkley-Nechako,5970,Nechako
5951009,Fraser Lake,VL,Village,5951,Bulkley-Nechako,5970,Nechako
5951013,Fort St. James,DM,District Municipality,5951,Bulkley-Nechako,5970,Nechako
5951022,Burns Lake,VL,Village,5951,Bulkley-Nechako,5970,Nechako
5951032,Granisle,VL,Village,5951,Bulkley-Nechako,5970,Nechako
5951034,Houston,DM,District Municipality,5951,Bulkley-Nechako,5970,Nechako
5951038,Telkwa,VL,Village,5951,Bulkley-Nechako,5970,Nechako
5951043,Smithers,T,Town,5951,Bulkley-Nechako,5970,Nechako
5953007,Valemount,VL,Village,5953,Fraser-Fort George,5950,Cariboo
5953012,McBride,VL,Village,5953,Fraser-Fort George,5950,Cariboo
5953023,Prince George,CY,City,5953,Fraser-Fort George,5950,Cariboo
5953033,Mackenzie,DM,District Municipality,5953,Fraser-Fort George,5950,Cariboo
5955003,Tumbler Ridge,DM,District Municipality,5955,Peace River,5980,Northeast / Nord-est
5955005,Pouce Coupe,VL,Village,5955,Peace River,5980,Northeast / Nord-est
5955010,Chetwynd,DM,District Municipality,5955,Peace River,5980,Northeast / Nord-est
5955014,Dawson Creek,CY,City,5955,Peace River,5980,Northeast / Nord-est
5955025,Hudson's Hope,DM,District Municipality,5955,Peace River,5980,Northeast / Nord-est
5955030,Taylor,DM,District Municipality,5955,Peace River,5980,Northeast / Nord-est
5955034,Fort St. John,CY,City,5955,Peace River,5980,Northeast / Nord-est
5959007,Northern Rockies,RGM,Regional Municipality,5959,Northern Rockies,5980,Northeast / Nord-est
