Name,First Nations/Band Name,Type,Nation,Population,Address,City,Province,Postal Code,Latitude,Longitude
?Akisq'nuk,Columbia Lake First Nation,First Nation or Band,Ktunaxa,271,3050 HWY 93 / 95,Windermere,BC,V0B 2L2,50.411444,-115.907307
?Aq'am,St. Mary's,First Nation or Band,Ktunaxa,378,7470 Mission RD,Cranbrook,BC,V1C 7E5,49.636944,-115.725
?Esdilagh,Alexandria Indian Band,First Nation or Band,Tsilhqot'in,196,4 - 9001 West Fraser RD,Quesnel,BC,V2J 6R4,52.574036,-122.484985
Adams Lake,Sexqeltqin,First Nation or Band,Secwepemc,762,PO BOX 588,Chase,BC,V0E 1M0,50.819031,-119.734009
Ahousaht,,First Nation or Band,Nuu-chah-nulth,2083,General Delivery,Ahousat,BC,V0R 1A0,49.280823,-126.0578
Aitchelitz,,First Nation or Band,Sto:lo,42,8161 Aitken RD,Chilliwack,BC,V2R 4H4,49.150412,-121.986882
Ashcroft,,First Nation or Band,Nlaka'pamux,271,PO BOX 440,Ashcroft,BC,V0K 1A0,50.717834,-121.311584
Beecher Bay,Scia'new First Nation,First Nation or Band,Coast Salish,250,"4901B East Sooke RD, RR 6",Sooke,BC,V9Z 1B6,48.337688,-123.606697
Blueberry River First Nations,,First Nation or Band,Cree / Dunne-zaa (Beaver),469,PO BOX 3009,Buick Creek,BC,V0C 2R0,56.701111,-121.096111
Bonaparte,St'uxwtÌÎå©ws,First Nation or Band,Secwepemc,913,PO BOX 669,Cache Creek,BC,V0K 1H0,50.836243,-121.376099
Boothroyd,,First Nation or Band,Nlaka'pamux,281,PO BOX 295,Boston Bar,BC,V0K 1C0,49.961792,-121.483398
Boston Bar First Nation,,First Nation or Band,Nlaka'pamux,262,PO BOX 369,Boston Bar,BC,V0K 1C0,49.869812,-121.451294
Bridge River,Xwisten,First Nation or Band,St'ÌÎÌt'imc,453,PO BOX 190,Lillooet,BC,V0K 1V0,50.813889,-122.083056
Campbell River,We Wai Kum,First Nation or Band,Kwakwaka'wakw,787,1400 Weiwaikum RD,Campbell River,BC,V9W 5W8,50.03268,-125.257981
Canim Lake,Tsq'escen',First Nation or Band,Secwepemc,607,PO BOX 1030,100 Mile House,BC,V0K 2E0,51.778809,-120.979614
Chawathil,Hope Indian Band,First Nation or Band,Sto:lo,589,4-60814 Lougheed HWY,Hope,BC,V0X 1L3,49.378889,-121.555
Cheam,,First Nation or Band,Sto:lo,526,52130 Old Yale RD,Rosedale,BC,V0X 1X0,49.18974,-121.784241
Cheslatta Carrier Nation,Cheslatta Carrier Nation,First Nation or Band,Dakelh (Carrier),345,PO BOX 909,Burns Lake,BC,V0J 1E0,54.005615,-125.712585
Coldwater,,First Nation or Band,Nlaka'pamux,827,PO BOX 4600,Merritt,BC,V1K 1B8,50.03302,-120.85968
Cook's Ferry,,First Nation or Band,Nlaka'pamux,342,PO BOX 130,Spences Bridge,BC,V0K 2L0,50.423035,-121.317993
Cowichan,,First Nation or Band,Coast Salish,4786,5760 Allenby RD,Duncan,BC,V9L 5J1,48.776794,-123.708313
Da'naxda'xw First Nation,,First Nation or Band,Kwakwaka'wakw,218,PO BOX 330,Alert Bay,BC,V0N 1A0,51.017212,-125.612183
Dease River,Dease River First Nation,First Nation or Band,,,PO BOX 79,GOOD HOPE LAKE,BC,V0C 2Z0,60.239811,-132.407227
Ditidaht,,First Nation or Band,Nuu-chah-nulth,768,PO BOX 340,Port Alberni,BC,V9Y 7M8,48.810425,-124.671387
