field,type,description
census_division_id,int,"CENSUS_DIVISION_ID: is a foreign Key to link to CENSUS_DIVISION_ID in CEN_CENSUS_DIVISIONS, e.g., 5901. This field combining with CENSUS_POP_NHS_YEAR is the primary key of ECON_CENSUS_DIV_NHS_TBL table."
census_year,number,"CENSUS YEAR is the census year that the data is collected. e.g., 2006, 2011."
nhs_flag,boolean,QUALITY_QLFD_NHS_IND: an indicator of whether or not Statistics Canada has qualified the accuracy of any of the data on which the National Household Survey (NHS) fields in this record are based. Statistics Canada qualifies the accuracy of each field in the NHS (http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E) data.  (See http://www.statcan.gc.ca/concepts/definitions/guide-symbol-signes-eng.htm for a list of qualifications). Y indicates that at least one field value in the source data has been qualified; N indicates that no field value has been qualified.
gnr,numeric,"GLOBAL_NON_RESPONSE_RATE_NHS: An indicator of data quality, the GLOBAL_NON_RESPONSE_RATE_NHS indicator is a value that combines complete non-response (household) and partial non-response (question) into a single rate.  A smaller GNR indicates a lower risk of non-response bias and as a result, lower risk of inaccuracy. The threshold used for estimates' suppression is a GNR of 50% or more. For more information, please refer to the National Household Survey User Guide, 2011 (http://www12.statcan.gc.ca/nhs-enm/2011/ref/nhs-enm_guide/index-eng.cfm). The possible range of values is 0 to 100"
hshldincome_median,float,"Median household total income, 2010 ($)"
hshldincome_5kunder,int,"Household total income in 2010 of private households - Under $5,000 (count)"
hshldincome_5k_10k,int,"Household total income in 2010 of private households - $5,000 to $9,999 (count)"
hshldincome_10k_15k,int,"Household total income in 2010 of private households - $10,000 to $14,999 (count)"
hshldincome_15k_20k,int,"Household total income in 2010 of private households - $15,000 to $19,999 (count)"
hshldincome_20k_30k,int,"Household total income in 2010 of private households - $20,000 to $29,999 (count)"
hshldincome_30k_40k,int,"Household total income in 2010 of private households - $30,000 to $39,999 (count)"
hshldincome_40k_50k,int,"Household total income in 2010 of private households - $40,000 to $49,999 (count)"
hshldincome_50k_60k,int,"Household total income in 2010 of private households - $50,000 to $59,999 (count)"
hshldincome_60k_70k,int,"Household total income in 2010 of private households - $60,000 to $79,999 (count)"
hshldincome_80k_90k,int,"Household total income in 2010 of private households - $80,000 to $99,999 (count)"
hshldincome_100k_125k,int,"Household total income in 2010 of private households - $100,000 to $124,999 (count)"
hshldincome_125k_150k,int,"Household total income in 2010 of private households - $125,000 to $149,999 (count)"
hshldincome_150kplus,int,"Household total income in 2010 of private households - $150,000 and over (count)"
wrkfrc_ed_u12,int,"Education (25-64) - No certificate, diploma or degree"
wrkfrc_ed_12,int,Education (25-64) - High school diploma or equivalent
wrkfrc_ed_asscdeg,int,Education (25-64) - Apprenticeship or trades certificate or diploma; Apprenticeship or trades certificate or diploma; University certificate or diploma below bachelor level;
wrkfrc_ed_collegegrad_gt16yrs,int,"Education (25-64) - University certificate, diploma or degree above bachelor level"
wrkfrc_ed_collegegrad_16yrs,int,Education (25-64) - Bachelor's degree
industry_agriculture,int,"Industry - 11 Agriculture, forestry, fishing and hunting"
industry_mining,int,"Industry - 21 Mining, quarrying, and oil and gas extraction"
industry_utilities,int,Industry - 22 Utilities
industry_construction,int,Industry - 23 Construction
industry_manufacturing,int,Industry - 31-33 Manufacturing
industry_wholesale,int,Industry - 41 Wholesale trade
industry_retail,int,Industry - 44-45 Retail trade
industry_transport,int,Industry - 48-49 Transportation and warehousing
industry_info_cultural,int,Industry - 51 Information and cultural industries
industry_finance_insurance,int,Industry - 52 Finance and insurance
industry_realestate,int,Industry - 53 Real estate and rental and leasing
industry_professional,int,"Industry - 54 Professional, scientific and technical services"
industry_management,int,Industry - 55 Management of companies and enterprises
industry_admin_waste,int,"Industry - 56 Administrative and support, waste management and remediation services"
industry_education,int,Industry - 61 Educational services
industry_health,int,Industry - 62 Health care and social assistance
industry_arts_rec,int,"Industry - 71 Arts, entertainment and recreation"
insustry_accomm_food,int,Industry - 72 Accommodation and food services
industry_other,int,Industry - 81 Other services (except public administration)
industry_public_admin,int,Industry - 91 Public administration
occupation_management,int,Occupation - 0 Management occupations
occupation_business,int,"Occupation - 1 Business, finance and administration occupations"
occupation_science,int,Occupation - 2 Natural and applied sciences and related occupations
occupation_health,int,Occupation - 3 Health occupations
occupation_education_law,int,"Occupation - 4 Occupations in education, law and social, community and government services"
occupation_art_culture_rec,int,"Occupation - 5 Occupations in art, culture, recreation and sport"
occupation_sales_service,int,Occupation - 6 Sales and service occupations
occupation_trades,int,"Occupation - 7 Trades, transport and equipment operators and related occupations"
occupation_resources_ag,int,"Occupation - 8 Natural resources, agriculture and related production occupations"
occupation_manufacturing,int,Occupation - 9 Occupations in manufacturing and utilities
commute_median,float,Median commuting duration (minutes)
laborforce_participation_male,float,Labour force participation rate - male
laborforce_participation_female,float,Labour force participation rate - female
