census_year,census_division_id,quality_qlfd_population_ind,pop_total,pop_4under,pop_5_9,pop_10_14,pop_15,pop_16,pop_17,pop_18,pop_19,pop_20_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_60_64,pop_65_69,pop_70_74,pop_75_79,pop_80_84,pop_85plus,pop_median_age,hshld_n,quality_qlfd_nhs_ind,global_non_response_rate_nhs,hshldincome_median ,hshldincome_5kunder ,hshldincome_5k_10k ,hshldincome_10k_15k ,hshldincome_15k_20k ,hshldincome_20k_30k ,hshldincome_30k_40k ,hshldincome_40k_50k ,hshldincome_50k_60k ,hshldincome_60k_80k ,hshldincome_80k_100k ,hshldincome_100k_125k ,hshldincome_125k_150k ,hshldincome_150kplus ,wrkfrc_ed_u12 ,wrkfrc_ed_12 ,wrkfrc_ed_asscdeg ,wrkfrc_ed_collegegrad_gt16yrs ,wrkfrc_ed_collegegrad_16yrs ,industry_agriculture ,industry_mining ,industry_utilities ,industry_construction ,industry_manufacturing ,industry_wholesale ,industry_retail ,industry_transport ,industry_info_cultural ,industry_finance_insurance ,industry_realestate ,industry_professional ,industry_management ,industry_admin_waste ,industry_education ,industry_health ,industry_arts_rec ,industry_accomm_food ,industry_other ,industry_public_admin ,occupation_management ,occupation_business ,occupation_science ,occupation_health ,occupation_education_law ,occupation_art_culture_rec ,occupation_sales_service ,occupation_trades ,occupation_resources_ag ,occupation_manufacturing ,commute_median ,laborforce_participatn_male ,laborforce_participatn_female ,laborforce_participatn_total
2011,5947,N,18785,1140,1190,1260,250,290,265,265,270,1165,970,1075,1265,1280,1495,1665,1510,1215,870,530,335,270,210,39.9,7575,N,34.7,49462,660,540,515,1145,1625,1885,1460,1120,2035,1615,1190,365,475,7060,6600,4265,1025,2580,780,15,55,585,425,125,1120,1195,165,325,80,185,0,280,720,880,220,630,265,1105,1080,1145,460,410,1165,185,2055,1680,605,360,7.7,64.7,60.9,62.8
2011,5933,N,128475,6280,6340,7035,1615,1585,1660,1605,1720,8225,7620,6820,7105,8330,9950,11090,10310,9365,7035,5485,4120,2820,2370,44,53375,N,30.4,59385,2825,1730,3640,5770,10570,12780,10035,9590,16790,11415,10075,3385,4035,29650,52750,35715,9120,18230,2970,2460,275,5385,3600,2165,8190,3890,885,1510,1165,3185,65,2330,4860,8135,1810,5555,2670,4700,7105,8845,3115,4620,7800,1320,15460,12490,3135,1915,15.2,66.5,60.4,63.4
2011,5931,N,38170,2455,2130,2005,415,440,425,435,445,2570,3325,3560,3535,3200,3005,2755,2320,1875,1240,805,585,340,295,36.2,15000,N,35.1,62872,1220,655,1075,1795,2090,3220,2710,2400,4315,3655,2890,820,1530,6070,14940,10505,4160,8100,575,150,140,2960,475,360,2530,815,445,595,760,1325,0,1130,1345,1625,1150,3390,1060,1735,2990,2665,1005,1150,2230,855,6485,4075,835,285,12.5,77.6,73.1,75.5
2011,5924,N,43255,2145,2265,2415,560,570,520,520,530,2020,1965,2235,2360,2715,3420,3980,3950,3820,2700,1775,1240,845,695,46.3,18630,N,23.7,56518,1055,670,1510,2475,3550,4455,3725,3405,6225,4315,2775,910,1105,10685,17675,12085,2565,4830,2005,810,155,1850,1000,545,3085,1025,290,585,470,955,0,835,1210,2330,605,1575,910,1145,2145,2725,1330,1370,2080,555,5120,3810,1645,600,14.1,64.9,58,61.4
2011,5959,N,5575,450,365,370,95,90,105,75,60,420,465,455,430,460,440,495,360,215,105,55,45,25,10,33.1,2180,N,36.7,82605,115,30,20,185,255,345,365,270,710,530,595,205,380,1795,2470,1520,155,380,20,455,70,430,60,70,350,230,75,60,175,60,0,160,160,170,60,465,155,250,510,460,80,60,345,10,635,1045,135,185,10.1,84.5,73.8,79.7
2011,5905,N,31135,1380,1465,1540,365,360,375,360,345,1300,1260,1375,1565,1820,2275,2875,2935,2815,2005,1615,1285,965,845,49.6,13930,N,38,52690,905,550,1435,2060,3610,2930,2425,2365,3810,3055,1990,770,980,7300,11120,9725,2045,3645,700,325,255,1150,1750,225,1795,455,115,400,150,465,0,615,1005,2030,315,830,715,810,1340,1650,715,1255,1510,235,3210,2800,555,815,10.9,58.7,52.5,55.6
2011,5929,N,28620,1140,1110,1375,365,305,305,355,295,1150,950,1115,1275,1590,2145,2660,2805,2920,2280,1520,1190,950,815,51.6,12835,N,36.1,55708,755,410,685,1300,2700,2885,3185,2615,3860,2930,1945,585,915,4730,10670,7545,3410,4985,465,230,85,1530,1005,340,1975,790,330,335,310,860,0,650,765,1675,580,880,510,650,1420,1730,1010,945,1330,705,3430,2370,575,460,15.4,62.5,55.3,58.7
2011,5943,N,11505,735,710,720,155,150,155,150,125,625,630,665,665,710,1010,1060,1055,850,600,335,200,135,65,41.8,4875,N,33.7,54845,375,225,285,770,1130,960,1040,820,1290,1075,1040,295,215,3960,4340,3190,420,1105,1135,45,35,285,625,135,590,355,55,85,85,150,0,190,405,570,85,355,350,570,645,715,420,230,740,65,1025,1065,780,415,10.2,70.6,64.2,67.5
2011,5927,N,19905,810,850,975,235,250,270,220,200,785,725,780,945,1140,1550,1825,1960,1920,1455,1065,785,635,520,50.6,9110,N,27.9,48272,450,600,1005,1195,1845,2595,2345,1705,2410,1770,1220,375,390,4730,8065,6060,1425,2065,595,95,40,850,755,130,1175,430,90,245,160,300,0,420,465,1055,165,655,470,510,945,1145,360,725,815,195,1870,1545,505,505,10.8,55,49.6,52.3
2011,5957,N,625,30,25,30,10,10,0,5,0,35,30,35,45,30,55,65,75,60,45,20,25,5,10,49.3,325,N,46.3,42235,40,20,25,65,70,90,75,55,50,65,35,0,25,180,230,180,25,60,10,65,0,35,0,0,0,15,0,0,0,15,0,15,10,30,0,20,10,95,25,65,20,0,45,15,50,70,50,15,10.2,75.9,60.9,70.2
