field,type,description
census_division_id,integer,"CENSUS_DIVISION_ID: is a foreign Key to link to CENSUS_DIVISION_ID in CEN_CENSUS_DIVISIONS, e.g., 5901. This field combining with CENSUS_POP_NHS_YEAR is the primary key of ECON_CENSUS_DIV_NHS_TBL table."
census_year,integer,"CENSUS YEAR is the census year that the data is collected. e.g., 2006, 2011."
global_non_response_rate_nhs,boolean,QUALITY_QLFD_NHS_IND: an indicator of whether or not Statistics Canada has qualified the accuracy of any of the data on which the National Household Survey (NHS) fields in this record are based. Statistics Canada qualifies the accuracy of each field in the NHS (http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E) data.  (See http://www.statcan.gc.ca/concepts/definitions/guide-symbol-signes-eng.htm for a list of qualifications). Y indicates that at least one field value in the source data has been qualified; N indicates that no field value has been qualified.
gnr,float,"GLOBAL_NON_RESPONSE_RATE_NHS: An indicator of data quality, the GLOBAL_NON_RESPONSE_RATE_NHS indicator is a value that combines complete non-response (household) and partial non-response (question) into a single rate.  A smaller GNR indicates a lower risk of non-response bias and as a result, lower risk of inaccuracy. The threshold used for estimates' suppression is a GNR of 50% or more. For more information, please refer to the National Household Survey User Guide, 2011 (http://www12.statcan.gc.ca/nhs-enm/2011/ref/nhs-enm_guide/index-eng.cfm). The possible range of values is 0 to 100"
hshldincome_median,float,"HSHLDINCOME_MEDIAN: Median household total income, 2010 ($). e.g., 57700"
hshldincome_5kunder,integer,"HSHLDINCOME_5KUNDER: Household total income in 2010 of private households - Under $5,000 (count). e.g., 515"
hshldincome_5k_10k,integer,"HSHLDINCOME_5K_10K: Household total income in 2010 of private households - $5,000 to $9,999 (count). e.g., 245"
hshldincome_10k_15k,integer,"HSHLDINCOME_10K_15K: Household total income in 2010 of private households - $10,000 to $14,999 (count). e.g., 560"
hshldincome_15k_20k,integer,"HSHLDINCOME_15K_20K: Household total income in 2010 of private households - $15,000 to $19,999 (count). e.g., 1035"
hshldincome_20k_30k,integer,"HSHLDINCOME_20K_30K: Household total income in 2010 of private households - $20,000 to $29,999 (count). e.g., 1630"
hshldincome_30k_40k,integer,"HSHLDINCOME_30K_40K: Household total income in 2010 of private households - $30,000 to $39,999 (count). e.g., 1460"
hshldincome_40k_50k,integer,"HSHLDINCOME_40K_50K: Household total income in 2010 of private households - $40,000 to $49,999 (count). e.g., 1710"
hshldincome_50k_60k,integer,"HSHLDINCOME_50K_60K: Household total income in 2010 of private households - $50,000 to $59,999 (count). e.g., 1640"
