field,type,description
census_year,integer,"CENSUS YEAR is the census year that the data is collected. e.g., 2006, 2011."
census_subdivision_id,integer,"CENSUS_SUBDIVISION_ID: is a foreign Key to link to CENSUS_SUBDIVISION_ID in CEN_CENSUS_SUBDIVISIONS, e.g., 5901022. This field combining with CENSUS_POP_NHS_YEAR is the primary key of ECON_CENSUS_SUBDIV_POP_NHS_TBL table. "
quality_qlfd_population_ind,boolean,QUALITY_QLFD_POPULATION_IND: an indicator of whether or not Statistics Canada has qualified the accuracy of any of the data on which the population fields in this record are based. Statistics Canada qualifies the accuracy of each field in the Population Census (http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-dwnld-tlchrgr.cfm?Lang=E) data.  (See http://www.statcan.gc.ca/concepts/definitions/guide-symbol-signes-eng.htm for a list of qualifications). Y indicates that at least one field value in the source data has been qualified; N indicates that no field value has been qualified.
pop_total,integer,"POP_TOTAL: Population - Total. e.g., 19319"
pop_4under,integer,"POP_4UNDER: Population - 0 to 4 years. e.g., 1075"
pop_5_9,integer,"POP_5_9: Population - 5 to 9 years. e.g., 1090"
pop_10_14,integer,"POP_10_14: Population - 10 to 14 years. e.g., 1080"
pop_15,integer,"POP_15: Population - 15 years. e.g., 260"
pop_16,integer,"POP_16: Population - 16 years. e.g., 260"
pop_17,integer,"POP_17: Population - 17 years. e.g., 235"
pop_18,integer,"POP_18: Population - 18 years. e.g., 265"
pop_19,integer,"POP_19: Population - 19 years. e.g., 235"
pop_20_24,integer,"POP_20_24: Population - 20 to 24 years. e.g., 1060"
pop_25_29,integer,"POP_25_29: Population - 25 to 29 years. e.g., 1150"
pop_30_34,integer,"POP_30_34: Population - 30 to 34 years. e.g., 1075"
pop_35_39,integer,"POP_35_39: Population - 35 to 39 years. e.g., 1100"
pop_40_44,integer,"POP_40_44: Population - 40 to 44 years. e.g., 1185"
pop_45_49,integer,"POP_45_49: Population - 45 to 49 years. e.g., 1450"
pop_50_54,integer,"POP_50_54: Population - 50 to 54 years. e.g., 1490"
pop_55_59,integer,"POP_55_59: Population - 55 to 59 years. e.g., 1490"
pop_60_64,integer,"POP_60_64: Population - 60 to 64 years. e.g., 1360"
pop_65_69,integer,"POP_65_69: Population - 65 to 69 years. e.g., 1035"
pop_70_74,integer,"POP_70_74: Population - 70 to 74 years. e.g., 820"
pop_75_79,integer,"POP_75_79: Population - 75 to 79 years. e.g., 640"
pop_80_84,integer,"POP_80_84: Population - 80 to 84 years. e.g., 515"
pop_85plus,integer,"POP_85PLUS: Population - 85 years and over. e.g., 445"
median_age,float,"MEDIAN_AGE: Median age of the population. e.g., 52.3"
hshld_n,integer,"HSHLD_N: Total number of private households. e.g., 8140"
quality_qlfd_nhs_ind,boolean,QUALITY_QLFD_NHS_IND: an indicator of whether or not Statistics Canada has qualified the accuracy of any of the data on which the National Household Survey (NHS) fields in this record are based. Statistics Canada qualifies the accuracy of each field in the NHS (http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E) data.  (See http://www.statcan.gc.ca/concepts/definitions/guide-symbol-signes-eng.htm for a list of qualifications). Y indicates that at least one field value in the source data has been qualified; N indicates that no field value has been qualified.
