CSD_UID,OFFNAME,OFF_CSDTYPE,POP,PRIV_DWELL,OCC_DWELL,LAND_AREA,REPPOINT_LATITUDE,REPPOINT_LONGITUDE,MET_NMET_CODE
5901003,Elkford,DM,2523,1437,1019,108.4206,50.02822,-114.893858,998
5901006,Sparwood,DM,3667,1953,1588,191.0128,49.751971,-114.81378,998
5901012,Fernie,CY,4448,2848,1988,14.8348,49.505356,-115.056591,998
5901017,East Kootenay A,RDA,1899,1430,800,4603.0505,49.680655,-114.816293,998
5901019,East Kootenay B,RDA,1746,1159,727,2782.5883,49.219596,-115.205481,997
5901022,Cranbrook,CY,19319,8509,8141,31.9479,49.532419,-115.763083,905
5901028,Kimberley,CY,6652,3418,2946,60.6187,49.669908,-115.979948,997
5901035,East Kootenay C,RDA,5713,2660,2264,4532.7903,49.504059,-115.584309,905
5901037,East Kootenay E,RDA,1634,1052,731,4261.0027,49.716051,-116.018834,997
5901039,Invermere,DM,2955,1912,1219,10.7333,50.500939,-116.033552,998
5901040,Radium Hot Springs,VL,777,1190,343,6.3405,50.629972,-116.079609,998
5901043,Canal Flats,VL,715,440,297,10.8639,50.164156,-115.815502,998
5901046,East Kootenay F,RDA,2635,3727,1110,6096.5431,50.32308,-115.834673,997
5901048,East Kootenay G,RDA,1412,955,637,4665.8247,50.83819,-116.21754,998
5901801,Tobacco Plains 2,IRI,57,23,23,41.744,49.0371,-115.096057,999
5901802,Isidore's Ranch 4,IRI,0,0,0,2.6703,49.540958,-115.599814,905
5901803,Kootenay 1,IRI,104,33,33,74.3169,49.623255,-115.729608,997
5901804,Columbia Lake 3,IRI,131,184,55,36.0314,50.415691,-115.906277,999
5901805,Cassimayooks (Mayook) 5,IRI,5,3,2,0.618,49.491537,-115.565904,905
5901806,Shuswap,IRI,293,148,121,10.7385,50.541264,-116.013295,998
5903004,Creston,T,5306,2679,2464,8.4658,49.105292,-116.515864,998
5903010,Central Kootenay A,RDA,2030,1419,977,1691.7432,49.473663,-116.767399,997
5903011,Salmo,VL,1139,546,519,2.4432,49.191524,-117.280131,998
5903013,Central Kootenay B,RDA,4464,2072,1774,1615.9298,49.253841,-116.34037,998
5903015,Nelson,CY,10230,4899,4627,11.9267,49.494212,-117.289589,998
5903017,Central Kootenay C,RDA,1372,659,604,741.4778,49.068181,-116.751058,998
5903019,Slocan,VL,296,162,135,0.7754,49.76656,-117.468937,999
5903023,Kaslo,VL,1026,559,464,2.4806,49.910037,-116.912519,998
5903027,Silverton,VL,195,148,97,0.3542,49.953636,-117.360038,999
5903032,New Denver,VL,504,308,243,0.8696,49.989959,-117.37613,998
5903039,Central Kootenay D,RDA,1413,1015,647,5786.1775,50.299503,-116.999155,998
5903041,Central Kootenay E,RDA,3781,1985,1661,802.7526,49.497868,-117.190209,998
5903043,Central Kootenay F,RDA,3976,1894,1682,404.4572,49.600858,-117.284502,998
5903045,Castlegar,CY,7816,3517,3349,19.5753,49.305234,-117.661755,998
5903047,Central Kootenay G,RDA,1597,794,723,1515.3893,49.18825,-117.283452,998
5903050,Nakusp,VL,1569,790,706,8.0527,50.247695,-117.803402,998
5903052,Central Kootenay H,RDA,4289,2252,1941,3290.7026,49.86905,-117.417336,998
5903056,Central Kootenay I,RDA,2570,1166,1079,109.4964,49.375226,-117.602648,998
5903058,Central Kootenay J,RDA,2996,1419,1249,1694.1029,49.415424,-117.966688,998
5903060,Central Kootenay K,RDA,1759,1147,826,4380.2423,50.189769,-117.964389,998
5903807,Creston 1,IRI,113,44,39,7.5286,49.058425,-116.535346,998
5905005,Fruitvale,VL,2016,862,810,2.7051,49.112278,-117.550985,998
5905009,Montrose,VL,1030,440,431,1.4618,49.078859,-117.591235,998
5905014,Trail,CY,7681,4013,3675,34.9283,49.091554,-117.711482,998
5905018,Warfield,VL,1700,812,767,1.8875,49.094566,-117.746521,998
5905023,Rossland,CY,3556,1685,1468,59.787,49.105117,-117.821539,998
5905026,Kootenay Boundary A,RDA,1845,779,751,238.2304,49.094413,-117.56983,998
5905030,Kootenay Boundary B,RDA,1395,656,630,776.7208,49.171296,-117.850141,998
5905032,Grand Forks,CY,3985,1918,1834,10.4325,49.030474,-118.446537,998
5905037,Midway,VL,674,337,306,12.2446,49.012416,-118.794966,998
5905042,Greenwood,CY,708,415,368,2.4187,49.094213,-118.678861,999
5905050,Kootenay Boundary C,RDA,1391,1511,626,529.6558,49.11614,-118.236691,998
5905052,Kootenay Boundary D,RDA,3187,1436,1368,2118.622,49.415413,-118.540987,998
5905054,Kootenay Boundary E,RDA,1970,3584,894,4292.8289,49.401332,-119.075988,997
5907005,Osoyoos,T,4845,2965,2260,8.5562,49.026987,-119.469666,998
5907009,Keremeos,VL,1330,703,663,2.0933,49.205598,-119.826233,997
5907014,Oliver,T,4824,2293,2152,5.4999,49.184758,-119.549944,997
5907022,Okanagan-Similkameen A,RDA,1892,913,773,259.7047,49.043667,-119.477117,998
5907024,Princeton,T,2724,1504,1304,10.4684,49.463497,-120.506779,997
5907026,Okanagan-Similkameen B,RDA,1140,502,473,238.3005,49.090855,-119.722484,997
5907028,Okanagan-Similkameen C,RDA,3473,1541,1421,446.5645,49.153348,-119.419984,998
5907035,Summerland,DM,11280,5173,4779,74.0551,49.618544,-119.707458,996
5907041,Penticton,CY,32877,16457,15234,42.104,49.496154,-119.573241,913
5907047,Okanagan-Similkameen D,RDA,5717,2845,2436,919.1719,49.379872,-119.559203,913
5907049,Okanagan-Similkameen E,RDA,1844,937,750,492.0489,49.632339,-119.49989,996
5907051,Okanagan-Similkameen F,RDA,2100,851,788,569.0042,49.601807,-119.854222,913
5907053,Okanagan-Similkameen G,RDA,2314,1423,1035,2122.3662,49.227477,-119.968698,997
5907055,Okanagan-Similkameen H,RDA,1768,1860,844,4808.6034,49.441559,-120.570392,997
5907801,Lower Similkameen 2,IRI,50,21,17,12.9774,49.106655,-119.729601,999
5907802,Osoyoos 1,IRI,628,298,282,130.3783,49.158055,-119.536415,997
5907803,Penticton 1,IRI,1667,778,742,194.6712,49.487378,-119.643096,913
5907805,Chopaka 7 & 8,IRI,70,27,25,16.9488,49.035949,-119.720956,999
5907806,Blind Creek 6,IRI,25,10,10,1.5793,49.181711,-119.730338,999
5907807,Chuchuwayha 2,IRI,76,31,29,21.3745,49.359524,-120.078146,999
5907808,Alexis 9,IRI,25,8,8,1.8794,49.220317,-119.918994,999
5907809,Ashnola 10,IRI,73,28,25,35.9068,49.247617,-120.057753,999
5909009,Hope,DM,5969,2929,2632,41.1354,49.382564,-121.447946,997
5909014,Fraser Valley A,RDA,442,272,229,2329.4339,49.939868,-121.490547,997
5909016,Fraser Valley B,RDA,721,641,335,3087.1737,49.343212,-121.311654,996
5909020,Chilliwack,CY,77936,32059,30432,261.501,49.140212,-121.927152,930
5909027,Harrison Hot Springs,VL,1468,908,666,5.5718,49.297544,-121.782488,930
5909032,Kent,DM,5664,2192,2054,168.3934,49.267033,-121.789497,930
5909034,Fraser Valley D,RDA,1346,494,469,220.1946,49.24581,-121.602917,996
5909036,Fraser Valley E,RDA,3358,2084,1424,749.5574,49.081532,-121.687198,930
5909048,Fraser Valley C,RDA,973,1062,418,3668.4843,49.774937,-122.191268,996
5909052,Abbotsford,CY,133497,49917,46452,375.551,49.0676,-122.286195,932
5909056,Mission,DM,36426,13820,12787,225.7003,49.231238,-122.310811,932
5909060,Fraser Valley F,RDA,1303,754,524,2019.9895,49.6218,-122.637165,996
5909062,Fraser Valley G,RDA,1764,1015,700,97.0681,49.166178,-122.12789,996
5909804,Chawathil 4,IRI,163,48,46,5.4339,49.369131,-121.538183,997
5909805,Inkahtsaph 6,IRI,0,1,1,2.0184,49.998747,-121.512274,999
5909806,Kopchitchin 2,IRI,32,19,19,1.483,49.869135,-121.45501,999
5909807,Ohamil 1,IRI,77,21,21,1.7279,49.339346,-121.60593,999
5909808,Puckatholetchin 11,IRI,5,4,3,2.371,49.445445,-121.433602,999
5909809,Saddle Rock 9,IRI,0,0,0,0.4523,49.628577,-121.394549,999
5909810,Lukseetsissum 9,IRI,21,10,9,0.6502,49.349963,-121.61223,999
5909812,Schkam 2,IRI,132,37,35,0.6938,49.395306,-121.454088,997
5909814,Skawahlook 1,IRI,0,1,1,0.4996,49.360344,-121.590567,999
5909815,Speyum 3,IRI,0,1,1,1.667,49.93671,-121.479376,999
5909816,Spuzzum 1,IRI,32,17,16,1.3357,49.660333,-121.414329,999
5909817,Tuckkwiowhum 1,IRI,36,15,12,0.3981,49.837582,-121.434364,999
5909818,Yale Town 1,IRI,10,8,7,0.0859,49.562121,-121.423604,999
5909819,Kahmoose 4,IRI,88,34,31,0.2161,49.962003,-121.485149,999
5909821,Kwawkwawapilt 6,IRI,342,199,196,0.7115,49.164157,-121.978825,930
5909824,Skwah 4,IRI,216,56,56,1.3092,49.174796,-121.979741,930
5909825,Skwali 3,IRI,10,4,4,1.3508,49.186215,-121.96338,930
5909826,Skway 5,IRI,98,30,28,2.5857,49.171387,-121.99606,930
5909827,Soowahlie 14,IRI,187,67,59,4.5935,49.087226,-121.955485,930
5909830,Tzeachten 13,IRI,1467,744,711,2.5199,49.114901,-121.948419,930
5909831,Yakweakwioose 12,IRI,39,13,12,0.2074,49.133814,-121.936492,930
5909832,Seabird Island,IRI,594,208,198,16.5525,49.280165,-121.724604,930
5909833,Scowlitz 1,IRI,10,4,4,0.8833,49.231589,-121.932908,930
5909834,Tseatah 2,IRI,16,5,5,1.0395,49.218192,-121.760176,930
5909835,Aitchelitch 9,IRI,18,5,5,0.2088,49.149959,-121.992919,930
5909836,Boston Bar 1A,IRI,0,0,0,0.4075,49.829264,-121.428523,999
5909837,Cheam 1,IRI,223,74,71,3.4968,49.199245,-121.762367,997
5909838,Schelowat 1,IRI,10,4,4,0.9644,49.17925,-121.834,930
5909839,Chehalis 5,IRI,537,157,156,8.3941,49.295806,-121.91245,997
5909841,Stullawheets 8,IRI,48,22,22,0.5116,49.469907,-121.42707,999
5909842,Douglas 8,IRI,10,6,5,3.7362,49.754984,-122.154944,999
5909843,Peters 1,IRI,27,11,8,1.1375,49.304434,-121.654011,999
5909844,Popkum 1,IRI,5,2,2,1.4453,49.208524,-121.720046,999
5909845,Skookumchuck 4,IRI,94,33,30,2.1603,49.941043,-122.411906,999
5909847,Bucktum 4,IRI,5,1,1,0.3807,49.911311,-121.447593,999
5909848,Tipella 7,IRI,26,13,10,0.0034,49.774208,-122.221659,999
