census_year,census_subdivision_id,reference_point_longitude,reference_point_latitude,reference_point_elevation,elevation_mean,elevation_max,elevation_min
2011,5901003,-114.893858,50.02822,1516,1571.626116,2430,1230
2011,5901006,-114.81378,49.751971,1816,1553.959413,2529,1089
2011,5901012,-115.056591,49.505356,1013,1068.464789,1508,984
2011,5901017,-114.816293,49.680655,1348,1825.987868,3284,0
2011,5901019,-115.205481,49.219596,805,1351.363621,2666,0
2011,5901022,-115.763083,49.532419,946,928.8931986,1110,811
2011,5901028,-115.979948,49.669908,1074,1200.757871,1906,877
2011,5901035,-115.584309,49.504059,818,1533.06893,3357,0
2011,5901037,-116.018834,49.716051,1542,1691.730154,2932,765
2011,5901039,-116.033552,50.500939,839,858.4275155,1008,798
2011,5901040,-116.079609,50.629972,860,847.1025039,992,797
2011,5901043,-115.815502,50.164156,814,830.2692954,1212,807
2011,5901046,-115.834673,50.32308,1073,1790.476063,3422,622
2011,5901048,-116.21754,50.83819,1810,1816.119988,3608,782
2011,5901801,-115.096057,49.0371,825,840.5352604,966,778
2011,5901802,-115.599814,49.540958,756,765.7456936,853,751
2011,5901803,-115.729608,49.623255,832,845.860163,963,764
2011,5901804,-115.906277,50.415691,873,875.811796,1186,789
2011,5901805,-115.565904,49.491537,824,823.6565657,835,821
2011,5901806,-116.013295,50.541264,874,863.5442035,931,798
2011,5903004,-116.515864,49.105292,600,650.4534446,1135,531
2011,5903010,-116.767399,49.473663,549,1442.904158,2777,530
2011,5903011,-117.280131,49.191524,667,684.918008,914,652
2011,5903013,-116.34037,49.253841,795,1436.324859,2664,0
2011,5903015,-117.289589,49.494212,562,573.250506,810,452
2011,5903017,-116.751058,49.068181,1639,1279.099622,2380,0
2011,5903019,-117.468937,49.76656,555,553.9275168,655,541
2011,5903023,-116.912519,49.910037,587,585.2945892,732,532
2011,5903027,-117.360038,49.953636,545,545.3522388,590,537
2011,5903032,-117.37613,49.989959,547,546.3317944,602,535
2011,5903039,-116.999155,50.299503,1076,1741.376802,3382,531
2011,5903041,-117.190209,49.497868,1514,1402.622068,2782,452
2011,5903043,-117.284502,49.600858,1660,1402.38094,2608,508
2011,5903045,-117.661755,49.305234,482,501.1076404,781,414
2011,5903047,-117.283452,49.18825,667,1388.42792,2394,525
2011,5903050,-117.803402,50.247695,476,512.6673208,878,441
2011,5903052,-117.417336,49.86905,658,1536.717285,2978,452
2011,5903056,-117.602648,49.375226,1471,837.784598,1661,415
2011,5903058,-117.966688,49.415424,849,1241.055364,2482,412
2011,5903060,-117.964389,50.189769,568,1353.610054,2965,437
2011,5903807,-116.535346,49.058425,540,545.0160996,630,533
2011,5905005,-117.550985,49.112278,609,620.1459921,763,569
2011,5905009,-117.591235,49.078859,593,581.6660974,808,432
2011,5905014,-117.711482,49.091554,519,689.7463276,1324,400
2011,5905018,-117.746521,49.094566,606,613.3832891,777,478
2011,5905023,-117.821539,49.105117,1174,1519.657673,2239,717
2011,5905026,-117.56983,49.094413,608,899.7865131,1591,397
2011,5905030,-117.850141,49.171296,1411,1263.727726,2378,394
2011,5905032,-118.446537,49.030474,524,538.1638184,773,508
2011,5905037,-118.794966,49.012416,579,638.605916,933,564
2011,5905042,-118.678861,49.094213,744,780.3457364,931,736
2011,5905050,-118.236691,49.11614,476,1154.411185,2248,434
2011,5905052,-118.540987,49.415413,1222,1314.693934,2384,491
2011,5905054,-119.075988,49.401332,1061,1293.369669,2412,0
2011,5907005,-119.469666,49.026987,288,318.4676021,493,272
2011,5907009,-119.826233,49.205598,414,421.5971264,442,407
2011,5907014,-119.549944,49.184758,302,311.7837082,455,292
2011,5907022,-119.477117,49.043667,287,977.0928565,2164,0
2011,5907024,-120.506779,49.463497,648,677.9193558,778,623
2011,5907026,-119.722484,49.090855,373,1169.481085,2587,344
2011,5907028,-119.419984,49.153348,1014,1135.643577,2313,278
2011,5907035,-119.707458,49.618544,649,598.778432,994,341
2011,5907041,-119.573241,49.496154,407,456.0668008,880,338
2011,5907047,-119.559203,49.379872,350,1227.01792,2128,324
2011,5907049,-119.49989,49.632339,1403,1228.998703,2144,341
2011,5907051,-119.854222,49.601807,1054,1230.05489,2198,341
