NAME,FIRST_NATIONS_BAND NAME,NATION,REGION,POPULATION,PRIMARY_CONTACT,CONTACT_TITLE,EMAIL,PHONE,FAX,WEB_SITE,ADDRESS,CITY,PROVINCE,POSTAL_CODE,LATITUDE,LONGITUDE,PHOTO
?Akisq'nuk,Columbia Lake First Nation,Ktunaxa,Kootenay,271,Lorna Pollock,Financial Officer,lpollock@akisqnuk.org,(250) 342-6301,(250) 342-9693,http://www.akisqnuk.org,3050 HWY 93 / 95,Windermere,BC,V0B 2L2,50.411444,-115.907307,no
?Aq'am,St. Mary's,Ktunaxa,Kootenay,378,Danielle Cardozo,Director of Business Development,dcardozo@aqam.net,(250) 426-5717,(250) 426-8935,http://www.aqam.net,7470 Mission RD,Cranbrook,BC,V1C 7E5,49.636944,-115.725,no
?Esdilagh,Alexandria Indian Band,Tsilhqot'in,Cariboo,196,,,council@esdilaghband.com,(250) 747-2255,(250) 747-3920,,4 - 9001 West Fraser RD,Quesnel,BC,V2J 6R4,52.574036,-122.484985,no
Adams Lake,Sexqeltqin,Secwepemc,Thompson / Okanagan,762,Steve Murphy,Economic Development Officer,smurphy@alib.ca,(250) 679-8841,(250) 679-8813,http://www.adamslakeband.org,PO BOX 588,Chase,BC,V0E 1M0,50.819031,-119.734009,no
Ahousaht,,Nuu-chah-nulth,Vancouver Island / Coast,2083,Guy Louie,Economic Development Officer,guy.louie@ahousaht.ca,(250) 670-9563,(250) 670-9696,http://www.ahousaht.ca,General Delivery,Ahousat,BC,V0R 1A0,49.280823,-126.0578,no
Aitchelitz,,Sto:lo,Mainland / Southwest,42,,,angiebailey2010@hotmail.com,604-792-2404,,,8161 Aitken RD,Chilliwack,BC,V2R 4H4,49.150412,-121.986882,no
Ashcroft Indian Band,,Nlaka'pamux,Thompson / Okanagan,271,Darcy Robinson,Band Administrator,drobinson@ashcroftband.ca,(250) 453-9154,(250) 453-9156,http://www.ashcroftband.ca,PO BOX 440,Ashcroft,BC,V0K 1A0,50.717834,-121.311584,no
Beecher Bay,Scia'new First Nation,Coast Salish,Vancouver Island / Coast,250,,,bb.fn@telus.net,(250) 478-3535,(250) 478-3585,http://www.beecherbaybc.com,"4901B East Sooke RD, RR 6",Sooke,BC,V9Z 1B6,48.337688,-123.606697,no
Blueberry River First Nations,,Cree / Dunne-zaa (Beaver),Northeast,469,Arthur Chipesia,Economic Development Coordinator ,,(250) 630-2584,(250) 630-2588,,PO BOX 3009,Buick Creek,BC,V0C 2R0,56.701111,-121.096111,no
Bonaparte,St'uxwtéws,Secwepemc,Thompson / Okanagan,913,Martin Gerstmar,Economic Development Officer,marting@bonaparteindianband.com,(250) 457-9624,(250) 457-9550,http://bonaparteindianband.com,PO BOX 669,Cache Creek,BC,V0K 1H0,50.836243,-121.376099,no
