CHECK,census_subdivision_id,census_year,clab_id,fn_name_1,fn_name_2,pop_total_registered,pop_on_reserve_crown,pop_off_reserve_crown,notes,census_subdivision_name,census_subdivision_type_code,band_number,band_name
Is using same CSD as New West technically feasible?,5915029,2011,,Qayqayt,New Westminster,,,,The CSD record used to locate this First Nation is the the City of New Westminster CSD.,New Westminster,CY,566,New Westminster
,5929803,2011,,Sechelt,,1356,668,688,,Sechelt (Part),IGD,551,Sechelt
,5901804,2011,,?Akisq'nuk First Nation,Columbia Lake Indian Band,271,154,117,,Columbia Lake 3,IRI,604,?Akisq'nuk First Nation
,5941882,2011,,?Esdilagh First Nation,Alexandria Indian Band,196,53,143,,Alexandria,IRI,709,?Esdilagh First Nation
,5933884,2011,,Adams Lake,,765,416,349,,Sahhaltkum 4,IRI,684,Adams Lake
,5923808,2011,,Ahousaht,,2083,789,1294,,Marktosis 15,IRI,659,Ahousaht
,5909835,2011,,Aitchelitz,,42,25,17,,Aitchelitch 9,IRI,558,Aitchelitz
,5941839,2011,,Tsi Del Del,Alexis Creek,682,356,326,,Redstone Flat 1,IRI,710,Alexis Creek
,5933844,2011,,Ashcroft,,270,78,192,,Ashcroft 4,IRI,685,Ashcroft
,5917809,2011,,Beecher Bay,Scia'new First Nation,250,112,138,,Becher Bay 1,IRI,640,Beecher Bay
,5955803,2011,,Blueberry River First Nations,,471,225,246,,Blueberry River 205,IRI,547,Blueberry River First Nations
,5933812,2011,,Bonaparte,,919,240,679,,Bonaparte 3,IRI,686,Bonaparte
,5909819,2011,,Boothroyd,,283,90,193,,Kahmoose 4,IRI,700,Boothroyd
,5909806,2011,,Boston Bar First Nation,,263,94,169,,Kopchitchin 2,IRI,701,Boston Bar First Nation
"Xwisten is listed as Beecher Bay in source, likely an error",5931813,2011,,Xwisten,Bridge River,454,234,220,,Bridge River 1,IRI,590,Bridge River
,5951815,2011,,Burns Lake,,128,48,80,,Burns Lake 18,IRI,619,Burns Lake
,5924804,2011,,Campbell River,We Wai Kum First Nation,792,390,402,,Campbell River 11,IRI,622,Campbell River
