noc_2011_code,census_year,noc_2011_description,bc_low_wage,bc_median_wage,bc_high_wage,bc_data_source,bc_reference_period,bc_annual_wage,vic_low_wage,vic_median_wage,vic_high_wage,vic_data_source,vic_reference_period,vic_annual_wage,msw_low_wage,msw_median_wage,msw_high_wage,msw_data_source,msw_reference_period,msw_annual_wage,tok_low_wage,tok_median_wage,tok_high_wage,tok_data_source,tok_reference_period,tok_annual_wage,kot_low_wage,kot_median_wage,kot_high_wage,kot_data_source,kot_reference_period,kot_annual_wage,car_low_wage,car_median_wage,car_high_wage,car_data_source,car_reference_period,car_annual_wage,north_coast_low_wage,north_coast_median_wage,north_coast_high_wage,north_coast_data_source,north_coast_reference_period,north_coast_annual_wage,nechako_low_wage,nechako_median_wage,nechako_high_wage,nechako_data_source,nechako_reference_period,nechako_annual_wage,ne_coast_low_wage,ne_median_wage,ne_high_wage,ne_data_source,ne_reference_period,ne_annual_wage
11.0,2011,Legislators,20786.0,51112.0,141777.0,National Household Survey,2011,YEAR,36927.0,67480.0,156348.0,National Household Survey,2011,YEAR,20786.0,45612.0,117008.0,National Household Survey,2011,YEAR,15.5,20.11,30.0,Employment Insurance Data,2010-2011,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,,,,NA,NA,YEAR,NA,NA,NA,NA,NA,YEAR
12.0,2011,Senior government managers and officials,14.4,45.67,61.54,Labour Force Survey,2011-2012,HOUR,14.4,45.67,61.54,Labour Force Survey,2011-2012,HOUR,14.4,45.67,61.54,Labour Force Survey,2011-2012,HOUR,14.4,45.67,61.54,Labour Force Survey,2011-2012,HOUR,,,,NA,NA,HOUR,14.4,45.67,61.54,Labour Force Survey - Statistics Canada,2011-2012,HOUR,34.327,43.352,93.6098,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
13.0,2011,"Senior managers - financial, communications and other business services",24.76,48.08,72.12,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,28.8,48.72,72.12,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
14.0,2011,"Senior managers - health, education, social and community services and membership organizations",20.0,40.38,78.57,Labour Force Survey,2011-2012,HOUR,20.0,40.38,78.57,Labour Force Survey - Statistics Canada,2011-2012,HOUR,20.0,40.38,78.57,Labour Force Survey,2011-2012,HOUR,20.0,40.38,78.57,Labour Force Survey,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
15.0,2011,"Senior managers - trade, broadcasting and other services, n.e.c.",10.25,35.258,105.364,National Household Survey,2011,HOUR,10.25,26.321,73.9718,National Household Survey,2011,HOUR,10.25,41.244,119.297,National Household Survey,2011,HOUR,10.25,27.474,69.0021,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
16.0,2011,"Senior managers - construction, transportation, production and utilities",16.03,39.11,76.92,Labour Force Survey,2012-2013,HOUR,18.5,35.5954,88.8107,Employment Insurance Data,2012-2013,HOUR,16.03,40.0,76.92,Labour Force Survey,2012-2013,HOUR,12.628,31.746,123.51,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,15.0,43.27,76.92,Labour Force Survey - Statistics Canada,2011-2012,HOUR
111.0,2011,Financial managers,20.0,36.06,54.95,Labour Force Survey,2012-2013,HOUR,20.19,37.57,55.53,Labour Force Survey - Statistics Canada,2011-2012,HOUR,20.0,36.06,58.65,Labour Force Survey,2012-2013,HOUR,20.0,36.06,54.95,Labour Force Survey,2012-2013,HOUR,20.0,36.06,54.95,Labour Force Survey,2012-2013,HOUR,20.0,36.06,54.95,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,15.94,34.81,56.68,2006 Census - Statistics Canada,2006,HOUR
112.0,2011,Human resources managers,24.99,43.27,57.69,Labour Force Survey,2012-2013,HOUR,24.99,43.27,57.69,Labour Force Survey,2012-2013,HOUR,24.04,42.0,57.69,Labour Force Survey,2012-2013,HOUR,24.99,43.27,57.69,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,24.99,43.27,57.69,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
113.0,2011,Purchasing managers,17.69,36.0,52.88,Labour Force Survey,2012-2013,HOUR,17.69,36.0,52.88,Labour Force Survey,2012-2013,HOUR,17.69,36.0,52.88,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
114.0,2011,Other administrative services managers,14.42,32.66,53.85,Labour Force Survey,2012-2013,HOUR,14.42,32.66,53.85,Labour Force Survey,2012-2013,HOUR,14.42,32.31,53.85,Labour Force Survey,2012-2013,HOUR,14.42,32.66,53.85,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,15.0,22.0632,39.6707,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
