census_year,noc_code,noc_description,wage_period,bc_low_10thpctl,bc_hgh_90thpctl,bc_median_wage,bc_ref_period,bc_data_source,vancvr_isld_coast_low_10thpctl,vancvr_isld_coast_hgh_90thpctl,vancvr_isld_coast_median_wage,vancvr_isld_coast_ref_period,vancvr_isld_coast_data_source,north_east_low_10thpctl,north_east_hgh_90thpctl,north_east_median_wage,north_east_ref_period,north_east_data_source,north_coast_low_10thpctl,north_coast_hgh_90thpctl,north_coast_median_wage,north_coast_ref_period,north_coast_data_source,thompson_okanagan_low_10thpctl,thompson_okanagan_hgh_90thpctl,thompson_okanagan_median_wage,thompson_okanagan_ref_period,thompson_okanagan_data_source,cariboo_low_10thpctl,cariboo_hgh_90thpctl,cariboo_median_wage,cariboo_ref_period,cariboo_data_source,mainland_sthwest_low_10thpctl,mainland_sthwest_hgh_90thpctl,mainland_southwest_median_wage,mainland_sthwest_ref_period,mainland_sthwest_data_source,kootenays_low_10thpctl,kootenays_hgh_90thpctl,kootenays_median_wage,kootenays_ref_period,kootenays_data_source,nechako_low_10thpctl,nechako_hgh_90thpctl,nechako_median_wage,nechako_data_source,nechako_ref_period
2011,11,Legislators,YEAR,20786,141777,51112,2011,National Household Survey,36927,156348,67480,2011,National Household Survey,,,,,,,,,,,15.5,30,20.11,2010-2011,Employment Insurance Data,,,,,,20786,117008,45612,2011,National Household Survey,,,,,,,,,,
2011,12,Senior government managers and officials,HOUR,14.4,61.54,45.67,2011-2012,Labour Force Survey,14.4,61.54,45.67,2011-2012,Labour Force Survey,,,,,,34.327,93.6098,43.352,2011,National Household Survey,14.4,61.54,45.67,2011-2012,Labour Force Survey,14.4,61.54,45.67,2011-2012,Labour Force Survey - Statistics Canada,14.4,61.54,45.67,2011-2012,Labour Force Survey,,,,,,,,,,
2011,13,"Senior managers - financial, communications and other business services",HOUR,24.76,72.12,48.08,2012-2013,Labour Force Survey,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,72.12,48.72,2012-2013,Labour Force Survey,,,,,,,,,,
2011,14,"Senior managers - health, education, social and community services and membership organizations",HOUR,20,78.57,40.38,2011-2012,Labour Force Survey,20,78.57,40.38,2011-2012,Labour Force Survey - Statistics Canada,,,,,,,,,,,20,78.57,40.38,2011-2012,Labour Force Survey,,,,,,20,78.57,40.38,2011-2012,Labour Force Survey,,,,,,,,,,
2011,15,"Senior managers - trade, broadcasting and other services, n.e.c.",HOUR,10.25,105.364,35.258,2011,National Household Survey,10.25,73.9718,26.321,2011,National Household Survey,,,,,,,,,,,10.25,69.0021,27.474,2011,National Household Survey,,,,,,10.25,119.297,41.244,2011,National Household Survey,,,,,,,,,,
2011,16,"Senior managers - construction, transportation, production and utilities",HOUR,16.03,76.92,39.11,2012-2013,Labour Force Survey,18.5,88.8107,35.5954,2012-2013,Employment Insurance Data,15,76.92,43.27,2011-2012,Labour Force Survey - Statistics Canada,,,,,,12.628,123.51,31.746,2011,National Household Survey,,,,,,16.03,76.92,40,2012-2013,Labour Force Survey,,,,,,,,,,
2011,111,Financial managers,HOUR,20,54.95,36.06,2012-2013,Labour Force Survey,20.19,55.53,37.57,2011-2012,Labour Force Survey - Statistics Canada,15.94,56.68,34.81,2006,2006 Census - Statistics Canada,,,,,,20,54.95,36.06,2012-2013,Labour Force Survey,20,54.95,36.06,2012-2013,Labour Force Survey,20,58.65,36.06,2012-2013,Labour Force Survey,20,54.95,36.06,2012-2013,Labour Force Survey,,,,,
2011,112,Human resources managers,HOUR,24.99,57.69,43.27,2012-2013,Labour Force Survey,24.99,57.69,43.27,2012-2013,Labour Force Survey,,,,,,,,,,,24.99,57.69,43.27,2012-2013,Labour Force Survey,24.99,57.69,43.27,2012-2013,Labour Force Survey,24.04,57.69,42,2012-2013,Labour Force Survey,,,,,,,,,,
2011,113,Purchasing managers,HOUR,17.69,52.88,36,2012-2013,Labour Force Survey,17.69,52.88,36,2012-2013,Labour Force Survey,,,,,,,,,,,,,,,,,,,,,17.69,52.88,36,2012-2013,Labour Force Survey,,,,,,,,,,
2011,114,Other administrative services managers,HOUR,14.42,53.85,32.66,2012-2013,Labour Force Survey,14.42,53.85,32.66,2012-2013,Labour Force Survey,,,,,,,,,,,14.42,53.85,32.66,2012-2013,Labour Force Survey,15,39.6707,22.0632,2012-2013,Employment Insurance Data,14.42,53.85,32.31,2012-2013,Labour Force Survey,,,,,,,,,,
2011,121,"Insurance, real estate and financial brokerage managers",HOUR,20.7,61.54,43.27,2012-2013,Labour Force Survey,20.19,62.98,44.62,2011-2012,Labour Force Survey - Statistics Canada,,,,,,,,,,,20.7,61.54,43.27,2012-2013,Labour Force Survey,,,,,,20.7,61.54,37.36,2012-2013,Labour Force Survey,20.7,61.54,43.27,2012-2013,Labour Force Survey,,,,,
2011,122,"Banking, credit and other investment managers",HOUR,24.04,54.95,39.49,2012-2013,Labour Force Survey,24.04,54.95,39.49,2012-2013,Labour Force Survey,18.27,54.95,35.38,2011-2012,Labour Force Survey - Statistics Canada,,,,,,24.04,54.95,39.49,2012-2013,Labour Force Survey,24.04,54.95,39.49,2012-2013,Labour Force Survey,25.27,56.41,42.05,2012-2013,Labour Force Survey,24.04,54.95,39.49,2012-2013,Labour Force Survey,,,,,
2011,124,"Advertising, marketing and public relations managers",HOUR,20.51,62.5,34.62,2012-2013,Labour Force Survey,20.51,62.5,34.62,2012-2013,Labour Force Survey,13.74,47.7,35.44,2006,2006 Census - Statistics Canada,,,,,,20.51,62.5,34.62,2012-2013,Labour Force Survey,20.51,62.5,34.62,2012-2013,Labour Force Survey,20.67,64.1,34.62,2012-2013,Labour Force Survey,18.533,59.1847,29.431,2011,National Household Survey,,,,,
2011,125,Other business services managers,HOUR,19.5,48.3161,31.0945,2012-2013,Employment Insurance Data,19.5,48.3161,31.0945,2012-2013,Employment Insurance Data,,,,,,,,,,,18.2,37.77,27.47,2010-2011,Employment Insurance Data,,,,,,18.65,50.96,33.65,2012-2013,Labour Force Survey,,,,,,,,,,
2011,131,Telecommunication carriers managers,HOUR,23.55,56.3684,39.857,2011,National Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,22.65,56.7127,41.816,2011,National Household Survey,,,,,,,,,,
2011,132,Postal and courier services managers,HOUR,11.486,52.795,33.921,2011,National Household Survey,10.25,46.16,25.12,2006,2006 Census - Statistics Canada,,,,,,,,,,,10.25,44.84,19.66,2006,2006 Census - Statistics Canada,,,,,,11.693,55.1909,35.724,2011,National Household Survey,,,,,,,,,,
2011,211,Engineering managers,HOUR,19.5,71.1,50,2012-2013,Labour Force Survey,19.5,71.1,50,2012-2013,Labour Force Survey,,,,,,,,,,,,,,,,,,,,,19.5,71.1,48.08,2012-2013,Labour Force Survey,27.35,58.46,49.52,2011-2012,Labour Force Survey - Statistics Canada,,,,,
2011,212,Architecture and science managers,HOUR,16.146,74.6203,39.041,2011,National Household Survey,23.1348,48.37,38.076,2012-2013,Employment Insurance Data,,,,,,,,,,,,,,,,,,,,,20.895,82.2435,40.558,2011,National Household Survey,,,,,,,,,,
2011,213,Computer and information systems managers,HOUR,21.15,60.1,45.19,2012-2013,Labour Force Survey,21.15,60.1,45.19,2012-2013,Labour Force Survey,,,,,,,,,,,20,60.1,43.27,2011-2012,Labour Force Survey - Statistics Canada,,,,,,20,57.69,45.19,2012-2013,Labour Force Survey,,,,,,,,,,
2011,311,Managers in health care,HOUR,20.22,60.51,37.9,2012-2013,Labour Force Survey,20.22,60.51,37.9,2012-2013,Labour Force Survey,,,,,,,,,,,20.22,60.51,37.9,2012-2013,Labour Force Survey,24.65,61.54,44.13,2011-2012,Labour Force Survey - Statistics Canada,20.22,60.51,37.9,2012-2013,Labour Force Survey,24.65,61.54,44.13,2011-2012,Labour Force Survey - Statistics Canada,,,,,
2011,411,Government managers - health and social policy development and program administration,HOUR,28.844,62.4966,43.113,2011,National Household Survey,35.393,56.1324,42.515,2011,National Household Survey,,,,,,,,,,,,,,,,27.62,58.14,47.12,2011-2012,Labour Force Survey - Statistics Canada,28.023,69.477,44.767,2011,National Household Survey,,,,,,,,,,
2011,412,"Government managers - economic analysis, policy development and program administration",HOUR,23.08,62.05,42,2012-2013,Labour Force Survey,27.62,68.38,43.27,2012-2013,Labour Force Survey,,,,,,,,,,,23.08,62.05,42,2012-2013,Labour Force Survey,,,,,,23.08,62.05,42,2012-2013,Labour Force Survey,27.62,58.14,47.12,2011-2012,Labour Force Survey - Statistics Canada,,,,,
2011,413,Government managers - education policy development and program administration,HOUR,34.774,64.7927,48.401,2011,National Household Survey,20.78,48.74,34.56,2006,2006 Census - Statistics Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,414,Other managers in public administration,HOUR,26.55,62.5,46.7,2012-2013,Labour Force Survey,26.55,62.5,46.7,2012-2013,Labour Force Survey,,,,,,,,,,,,,,,,,,,,,26.55,62.5,46.7,2012-2013,Labour Force Survey,,,,,,,,,,
2011,421,Administrators - post-secondary education and vocational training,HOUR,21.39,57.44,36.62,2012-2013,Labour Force Survey,21.39,57.44,36.62,2012-2013,Labour Force Survey,18,58.24,36.1,2011-2012,Labour Force Survey - Statistics Canada,,,,,,21.39,57.44,36.62,2012-2013,Labour Force Survey,,,,,,21.39,57.44,36.62,2012-2013,Labour Force Survey,18,58.24,36.1,2011-2012,Labour Force Survey - Statistics Canada,,,,,
2011,422,School principals and administrators of elementary and secondary education,HOUR,24.04,52.88,40.87,2012-2013,Labour Force Survey,24.04,52.88,40.87,2012-2013,Labour Force Survey,,,,,,,,,,,24.04,52.88,40.87,2012-2013,Labour Force Survey,24.04,52.88,40.87,2012-2013,Labour Force Survey,24.04,55.9,39.42,2012-2013,Labour Force Survey,24.04,52.88,40.87,2012-2013,Labour Force Survey,,,,,
2011,423,"Managers in social, community and correctional services",HOUR,19.23,47.69,30,2012-2013,Labour Force Survey,19.23,47.69,30,2012-2013,Labour Force Survey,,,,,,,,,,,19.23,47.69,30,2012-2013,Labour Force Survey,21.457,45.323,35.747,2011,National Household Survey,19.51,48.08,28.85,2011-2012,Labour Force Survey - Statistics Canada,19.23,48.08,29.33,2011-2012,Labour Force Survey - Statistics Canada,,,,,
2011,431,Commissioned police officers,HOUR,10.25,55.82,35.56,2006,2006 Census - Statistics Canada,,,,,,,,,,,,,,,,,,,,,,,,,,28.27,58,41.84,2006,2006 Census - Statistics Canada,,,,,,,,,,
2011,432,Fire chiefs and senior firefighting officers,HOUR,34.289,64.6805,55.439,2011,National Household Survey,25.04,52.44,34.19,2006,2006 Census - Statistics Canada,,,,,,,,,,,,,,,,,,,,,39.695,70.7896,59.607,2011,National Household Survey,,,,,,,,,,
2011,433,Commissioned officers of the Canadian Forces,HOUR,18.235,50.8735,35.096,2011,National Household Survey,20.255,48.7717,34.1,2011,National Household Survey,,,,,,,,,,,11.36,32.96,24.09,2006,2006 Census - Statistics Canada,,,,,,15.739,64.2177,40.625,2011,National Household Survey,,,,,,,,,,
