field,type,description
CENSUS_YEAR,integer,"CENSUS_YEAR is the census year that NOC_CODE pertains to. e.g., 2006"
NOC_CODE,integer,"NOC_CODE: Occupational code as per NOC 2011 classification. With CENSUS_YEAR, this column is a primary key. e.g., 11"
NOC_DESCRIPTION,string,"NOC_DESCRIPTION: Occupational code description as per NOC 2011 classification. e.g., Legislators"
WAGE_PERIOD,string,"WAGE_PERIOD: indicates whether wage value is hourly or annual wage or annual. e.g., YEAR or HOUR"
BC_LOW_10THPCTL,float,"BC_LOW_10THPCTL: B.C. 10th percentile hourly or annual wage. e.g., 15.5"
BC_HGH_90THPCTL,float,"BC_HGH_90THPCTL: B.C. 90th percentile hourly or annual wage. e.g., 30"
BC_MEDIAN_WAGE,float,"BC_MEDIAN_WAGE: B.C. median hourly or annual wage. e.g., 20.11"
BC_REF_PERIOD,string,"BC_REF_PERIOD: BC hourly or annual wage reference year. e.g., 2011"
BC_DATA_SOURCE,string,"BC_DATA_SOURCE: B.C. hourly or annual wage source. e.g., National Household Survey"
VANCVR_ISLD_COAST_LOW_10THPCTL,float,"VANCVR_ISLD_COAST_LOW_10THPCTL: Vancouver Island Coast 10th percentile hourly or annual wage. e.g., 14.4"
VANCVR_ISLD_COAST_HGH_90THPCTL,float,"VANCVR_ISLD_COAST_HGH_90THPCTL: Vancouver Island Coast 90th percentile hourly or annual wage. e.g., 61.54"
VANCVR_ISLD_COAST_MEDIAN_WAGE,float,"VANCVR_ISLD_COAST_MEDIAN_WAGE: Vancouver Island Coast median hourly or annual wage. e.g., 45.67"
VANCVR_ISLD_COAST_REF_PERIOD,string,"VANCVR_ISLD_COAST_REF_PERIOD: Vancouver Island Coast hourly or annual wage reference year. e.g., Data limitations - refer to provincial wage"
VANCVR_ISLD_COAST_DATA_SOURCE,string,"VANCVR_ISLD_COAST_DATA_SOURCE: Vancouver Island Coast hourly or annual wage source. e.g., Source: Labour Force Survey - Statistics Canada"
NORTH_EAST_LOW_10THPCTL,float,"NORTH_EAST_LOW_10THPCTL: Northeast 10th percentile hourly or annual wage. e.g., 15"
NORTH_EAST_HGH_90THPCTL,float,"NORTH_EAST_HGH_90THPCTL: Northeast 90th percentile hourly or annual wage. e.g., 76.92"
NORTH_EAST_MEDIAN_WAGE,float,"NORTH_EAST_MEDIAN_WAGE: Northeast median hourly or annual wage. e.g., 43.27"
NORTH_EAST_REF_PERIOD,string,"NORTH_EAST_REF_PERIOD: Northeast hourly or annual wage reference year. e.g., 2011-2012"
NORTH_EAST_DATA_SOURCE,string,"NORTH_EAST_DATA_SOURCE: Northeast hourly or annual wage source. e.g., Source: 2006 Census - Statistics Canada"
NORTH_COAST_LOW_10THPCTL,float,"NORTH_COAST_LOW_10THPCTL: North Coast 10th percentile hourly or annual wage. e.g., 14.42"
NORTH_COAST_HGH_90THPCTL,float,"NORTH_COAST_HGH_90THPCTL: North Coast 90th percentile hourly or annual wage. e.g., 40"
NORTH_COAST_MEDIAN_WAGE,float,"NORTH_COAST_MEDIAN_WAGE: North Coast median hourly or annual wage. e.g., 28.85"
