census_year,noc_2011_code,noc_2011_description,b.c._median,b.c._low_10thpctl,b.c._high_90thpctl,b.c._source,vancouver_island_coast_median,vic_low_10thpctl,vic_high_90thpctl,vic_year,vic_source,northeast_median,ne_low_10thpctl,ne_high_90thpctl,ne_year,ne_source,north_coast_nechako_median,ncn_low_10thpctl,ncn_high_90thpctl,ncn_year,ncn_source,thompson-okanagan_median,tok_low_10thpctl,tok_high_90thpctl,tok_year,tok_source,cariboo_median,car_low_10thpctl,car_high_90thpctl,car_year,car_source,mainland_southwest_median,msw_low_10thpctl,msw_high_90thpctl,msw_year,msw_source,kootenays_median,kot_low_10thpctl,kot_high_90thpctl,kot_year,kot_source
2011,11,Legislators,20.11,15.5,30,EI 2010-11 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,20.11,15.5,30,Reference Period:л_2010-2011,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,20.11,15.5,30,Reference Period:л_2010-2011,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,12,Senior government managers and officials,45.67,14.4,61.54,LFS 2011-12 PR NOC4,45.67,14.4,61.54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,45.67,14.4,61.54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,45.67,14.4,61.54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,45.67,14.4,61.54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,13,"Senior managers - financial, communications and other business services",40.38,23.08,61.54,LFS 2011-12 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,40.38,23.08,61.54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,14,"Senior managers - health, education, social and community services and membership organizations",40.38,20,78.57,LFS 2011-12 PR NOC4,40.38,20,78.57,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,40.38,20,78.57,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,15,"Senior managers - trade, broadcasting and other services, n.e.c.",23.57,15,45.43,EI 2011-12 PR NOC4,22.71,15,38.06,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,25.36,15,51.86,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,16,"Senior managers - construction, transportation, production and utilities",43.27,15,76.92,LFS 2011-12 PR NOC4,,,,Data limitations - refer to provincial wage,,43.27,15,76.92,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,43.1,18,77.37,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,111,Financial managers,37.57,20.19,55.53,LFS 2011-12 PR NOC4,37.57,20.19,55.53,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,34.81,15.94,56.68,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,36.06,20,54.95,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,37.57,20.19,55.53,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,112,Human resources managers,40,22.4,57.69,LFS 2011-12 PR NOC4,40,22.4,57.69,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,34.38,15.54,43.08,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,31.25,21.63,57.69,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,113,Purchasing managers,31.17,17.96,54.49,EI 2011-12 PR NOC4,31.17,17.96,54.49,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,36.05,19.31,58.75,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,114,Other administrative services managers,28.85,14.42,40,LFS 2011-12 PR NOC4,28.85,14.42,40,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,28.85,14.42,40,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,28.85,14.42,40,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
