field,type,description
noc_2011_code,integer,Occupational code as per NOC 2011 classification
census_year,integer,"CENSUS YEAR is the census year that the data is collected. e.g., 2006, 2011."
noc_2011_description,string,Occupational code description as per NOC 2011 classification
bc_median,float,B.C. median hourly wage
bc_low_10thpctl,float,B.C. 10th percentile hourly wage
bc_high_90thpctl,float,B.C. 90th percentile hourly wage
bc_source,string,B.C. hourly wage source
vancouver_island_coast_median,float,Vancouver Island Coast median hourly wage
vic_low_10thpctl,float,Vancouver Island Coast 10th percentile hourly wage
vic_high_90thpctl,float,Vancouver Island Coast 90th percentile hourly wage
vic_year,string,Vancouver Island Coast hourly wage reference year
vic_source,string,Vancouver Island Coast hourly wage source
northeast_median,float,Northeast median hourly wage
ne_low_10thpctl,float,Northeast 10th percentile hourly wage
ne_high_90thpctl,float,Northeast 90th percentile hourly wage
ne_year,string,Northeast hourly wage reference year
ne_source,string,Northeast hourly wage source
north_coast_nechako_median,float,North Coast Nechako median hourly wage
ncn_low_10thpctl,float,North Coast Nechako 10th percentile hourly wage
ncn_high_90thpctl,float,North Coast Nechako 90th percentile hourly wage
ncn_year,string,North Coast Nechako hourly wage reference year
ncn_source,string,North Coast Nechako hourly wage source
thompson-okanagan_median,float,Thompson-Okanagan median hourly wage
tok_low_10thpctl,float,Thompson-Okanagan 10th percentile hourly wage
tok_high_90thpctl,float,Thompson-Okanagan 90th percentile hourly wage
tok_year,string,Thompson-Okanagan hourly wage reference year
tok_source,string,Thompson-Okanagan hourly wage source
cariboo_median,float,Cariboo median hourly wage
car_low_10thpctl,float,Cariboo 10th percentile hourly wage
car_high_90thpctl,float,Cariboo 90th percentile hourly wage
car_year,string,Cariboo hourly wage reference year
car_source,string,Cariboo hourly wage source
mainland_southwest_median,float,Mainland Southwest median hourly wage
msw_low_10thpctl,float,Mainland Southwest 10th percentile hourly wage
msw_high_90thpctl,float,Mainland Southwest 90th percentile hourly wage
msw_year,string,Mainland Southwest hourly wage reference year
msw_source,string,Mainland Southwest hourly wage source
kootenays_median,float,Kootenays median hourly wage
kot_low_10thpctl,float,Kootenays 10th percentile hourly wage
kot_high_90thpctl,float,Kootenays 90th percentile hourly wage
kot_year,string,Kootenays hourly wage reference year
kot_source,string,Kootenays hourly wage source
