census_year,geography_id,geography_type_code,unemployment_current,unemployment_forecast_year1,unemployment_forecast_year2
2011,59,PR,6.1,6.8,6.8
2011,5950,ER,5.8,5.2,4.6
2011,5940,ER,5.6,6.9,6.8
2011,5920,ER,6.2,7,7.2
2011,5970,ER,10,11.5,11.8
2011,5960,ER,10,11.5,11.8
2011,5980,ER,3.9,5.8,5.7
2011,5930,ER,6.2,7.2,6.8
2011,5910,ER,6.2,5.6,5.1
2011,59933,CMA/CA,6.1,,
2011,59932,CMA/CA,7.4,,
2011,59935,CMA/CA,5.5,,
2011,59938,CMA/CA,7.7,,
2011,59925,CMA/CA,8.3,,
2011,59918,CMA/CA,,,
2011,59915,CMA/CA,5.1,,
2011,59970,CMA/CA,5.2,,
