census_year,census_subdivision_id,arabic,cantonese,croatian,czech,dutch,english,english_and_french,finnish,french,german,greek,hindi,hungarian,ilocano,italian,japanese,korean,malay,mandarin,other,panjabi,persian,polish,portuguese,romanian,russian,serbian,spanish,tagalog,tamil,ukrainian,vietnamese
2011,5901003,0,0,0,0,5,2480,0,0,10,0,0,5,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0
2011,5901006,0,0,0,5,0,3630,0,0,10,0,0,5,0,0,5,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2011,5901012,0,0,0,0,0,4270,10,0,40,15,0,0,0,0,20,0,0,0,0,15,5,0,5,0,0,0,0,0,10,0,0,0
2011,5901017,0,0,0,0,0,1855,5,0,25,5,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2011,5901019,0,0,0,0,5,1680,0,0,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5901022,5,10,0,5,5,18610,5,0,50,40,0,0,0,0,65,0,40,0,5,90,5,0,5,0,5,5,5,20,15,0,0,0
2011,5901028,0,0,0,5,0,6480,0,0,5,20,0,0,0,0,5,5,10,0,5,35,5,0,10,0,0,0,0,5,0,0,0,0
2011,5901035,0,0,0,0,0,5620,5,0,25,40,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2011,5901037,0,0,0,0,5,1610,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2011,5901039,0,0,0,0,0,2820,0,0,10,25,0,0,0,0,0,0,5,0,0,15,0,0,5,0,0,5,0,0,5,0,0,0
2011,5901040,5,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,5,0,5,20,5,0,0,0,0,0,0,0,5,0,0,0
2011,5901043,0,0,0,0,0,680,0,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0
2011,5901046,0,0,0,0,0,2595,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,5,0,0,0,0
2011,5901048,0,0,0,5,5,1390,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5901801,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5901802,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5901803,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5901804,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2011,5901805,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5901806,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5903004,0,0,0,5,0,5050,0,0,45,25,0,0,5,0,5,0,5,0,5,10,0,0,5,0,0,0,0,0,5,0,0,0
2011,5903010,0,0,0,5,0,1980,5,0,20,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0
2011,5903011,0,0,0,0,5,1120,5,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2011,5903013,0,0,0,5,0,4375,0,0,30,25,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0
2011,5903015,0,5,0,5,15,9740,30,0,75,10,0,0,5,0,40,10,10,0,20,25,0,0,0,0,0,10,0,5,5,0,5,0
2011,5903017,0,0,0,0,0,1335,0,0,10,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0
2011,5903019,0,0,0,0,0,290,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2011,5903023,0,0,0,0,0,980,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0
2011,5903027,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5903032,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5903039,0,0,0,0,5,1365,0,0,25,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0
2011,5903041,0,0,0,0,5,3725,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2011,5903043,0,0,0,0,10,3885,5,0,20,15,0,0,0,0,5,0,0,0,0,15,0,0,5,0,0,5,0,0,0,0,0,0
2011,5903045,0,5,0,5,0,7480,0,0,25,10,0,0,5,0,10,0,0,0,10,20,15,0,0,75,0,30,0,5,0,0,0,0
2011,5903047,0,0,0,0,0,1580,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2011,5903050,0,0,0,0,0,1520,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5903052,0,0,0,0,5,4110,0,0,25,15,0,0,0,0,0,0,5,0,0,5,5,0,0,0,0,100,0,5,0,0,0,0
2011,5903056,0,0,0,0,0,2470,5,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,55,0,0,0,0,0,0
2011,5903058,0,0,0,0,0,2960,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0
2011,5903060,0,0,0,5,0,1705,5,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2011,5903807,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5905005,0,5,0,0,0,1990,0,0,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0
2011,5905009,0,5,0,0,0,1015,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0
2011,5905014,0,10,0,0,0,7335,0,0,5,0,0,0,0,0,80,0,10,0,0,15,10,0,0,0,0,10,0,10,0,5,0,0
2011,5905018,0,0,0,0,0,1655,5,0,0,0,0,0,0,0,20,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0
2011,5905023,0,10,0,0,0,3445,5,0,65,10,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,10,0,0,0,0
2011,5905026,0,0,0,0,0,1835,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0
2011,5905030,0,0,0,0,0,1375,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5905032,0,0,0,0,5,3780,10,0,10,5,0,5,5,0,10,5,5,0,0,5,20,0,0,0,0,25,0,0,5,0,0,0
2011,5905037,0,0,0,0,0,665,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5905042,0,0,0,5,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2011,5905050,0,0,0,5,0,1370,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5905052,0,0,0,5,5,3135,5,0,10,5,0,0,0,0,0,0,0,0,0,5,10,0,5,0,0,10,0,0,0,0,0,0
2011,5905054,0,0,0,0,0,1930,5,0,10,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2011,5907005,0,5,0,0,5,4425,5,0,40,15,0,5,0,5,5,0,0,0,5,25,105,0,0,80,5,0,0,10,5,0,0,0
2011,5907009,0,0,0,0,5,1290,0,0,10,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
2011,5907014,0,5,5,0,0,4310,5,0,25,5,0,0,5,0,5,0,0,0,0,5,220,0,0,65,0,5,0,30,0,0,5,0
2011,5907022,0,0,5,0,5,1470,5,0,10,15,0,0,0,0,0,0,5,0,0,5,305,5,0,45,0,0,0,20,0,0,0,0
2011,5907024,0,0,0,5,0,2650,5,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0
2011,5907026,0,0,0,0,0,1015,0,0,20,0,0,0,0,0,0,0,0,0,5,0,85,0,0,0,0,5,0,0,0,0,0,0
2011,5907028,0,0,0,0,0,2845,5,0,40,20,0,0,5,0,5,0,0,0,0,5,470,0,5,45,0,5,0,10,0,0,0,5
2011,5907035,0,5,0,0,15,10685,5,10,40,100,0,0,10,5,15,10,5,0,5,25,105,0,5,15,0,5,0,25,5,0,0,0
2011,5907041,0,35,10,15,20,30870,40,5,145,135,20,10,25,0,30,5,25,0,10,145,525,5,15,105,0,10,10,60,30,0,10,55
2011,5907047,5,0,0,0,15,5565,10,0,20,40,0,0,10,5,0,0,5,0,0,0,20,0,5,5,0,0,0,0,0,0,0,0
2011,5907049,0,0,5,0,5,1765,5,0,10,25,0,0,0,0,0,0,0,0,0,10,0,0,0,5,5,0,0,0,0,0,0,0
2011,5907051,0,0,0,0,0,2060,0,0,0,10,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0
2011,5907053,0,0,0,0,0,2150,0,0,5,10,0,0,0,0,0,0,0,0,0,5,120,0,0,5,0,0,0,0,0,0,0,0
2011,5907055,0,0,0,0,0,1750,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2011,5907801,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5907802,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2011,5907803,0,0,0,0,5,1615,5,0,0,10,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
2011,5907805,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5907806,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5907807,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5907808,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5907809,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909009,5,5,0,0,15,5705,5,0,15,25,5,0,5,0,5,5,30,0,0,10,15,0,15,5,0,5,0,5,5,0,5,5
2011,5909014,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
