CENSUS_SUBDIVISION_ID,LANGUAGE,COUNT_SPOKEN_AT_HOME
5901003,Arabic,0
5901003,Cantonese,0
5901003,Croatian,0
5901003,Czech,0
5901003,Dutch,5
5901003,English,2480
5901003,English and French,0
5901003,Finnish,0
5901003,French,10
5901003,German,0
5901003,Greek,0
5901003,Hindi,5
5901003,Hungarian,0
5901003,Ilocano,0
5901003,Italian,0
5901003,Japanese,0
5901003,Korean,0
5901003,Malay,0
5901003,Mandarin,0
5901003,Other non-official language,15
5901003,Panjabi (Punjabi),5
5901003,Persian (Farsi),0
5901003,Polish,0
5901003,Portuguese,0
5901003,Romanian,0
5901003,Russian,0
5901003,Serbian,0
5901003,Spanish,0
5901003,"Tagalog (Pilipino, Filipino)",0
5901003,Tamil,0
5901003,Ukrainian,0
5901003,Vietnamese,0
5901006,Arabic,0
5901006,Cantonese,0
5901006,Croatian,0
5901006,Czech,5
5901006,Dutch,0
5901006,English,3630
5901006,English and French,0
5901006,Finnish,0
5901006,French,10
5901006,German,0
5901006,Greek,0
5901006,Hindi,5
5901006,Hungarian,0
5901006,Ilocano,0
5901006,Italian,5
5901006,Japanese,0
5901006,Korean,5
5901006,Malay,5
5901006,Mandarin,0
5901006,Other non-official language,0
5901006,Panjabi (Punjabi),5
5901006,Persian (Farsi),0
5901006,Polish,0
5901006,Portuguese,0
5901006,Romanian,0
5901006,Russian,0
5901006,Serbian,0
5901006,Spanish,0
5901006,"Tagalog (Pilipino, Filipino)",0
5901006,Tamil,0
5901006,Ukrainian,0
5901006,Vietnamese,0
5901012,Arabic,0
5901012,Cantonese,0
5901012,Croatian,0
5901012,Czech,0
5901012,Dutch,0
5901012,English,4270
5901012,English and French,10
5901012,Finnish,0
5901012,French,40
5901012,German,15
5901012,Greek,0
5901012,Hindi,0
5901012,Hungarian,0
5901012,Ilocano,0
5901012,Italian,20
5901012,Japanese,0
5901012,Korean,0
5901012,Malay,0
5901012,Mandarin,0
5901012,Other non-official language,15
5901012,Panjabi (Punjabi),5
5901012,Persian (Farsi),0
5901012,Polish,5
5901012,Portuguese,0
5901012,Romanian,0
5901012,Russian,0
5901012,Serbian,0
5901012,Spanish,0
5901012,"Tagalog (Pilipino, Filipino)",10
5901012,Tamil,0
5901012,Ukrainian,0
5901012,Vietnamese,0
5901017,Arabic,0
5901017,Cantonese,0
5901017,Croatian,0
5901017,Czech,0
5901017,Dutch,0
5901017,English,1855
5901017,English and French,5
5901017,Finnish,0
5901017,French,25
5901017,German,5
5901017,Greek,0
5901017,Hindi,0
5901017,Hungarian,0
5901017,Ilocano,0
5901017,Italian,0
5901017,Japanese,5
5901017,Korean,0
5901017,Malay,0
5901017,Mandarin,0
5901017,Other non-official language,0
5901017,Panjabi (Punjabi),10
5901017,Persian (Farsi),0
5901017,Polish,0
5901017,Portuguese,0
5901017,Romanian,0
5901017,Russian,0
5901017,Serbian,0
5901017,Spanish,0
5901017,"Tagalog (Pilipino, Filipino)",0
5901017,Tamil,0
5901017,Ukrainian,0
5901017,Vietnamese,0
5901019,Arabic,0
5901019,Cantonese,0
5901019,Croatian,0
5901019,Czech,0
5901019,Dutch,5
5901019,English,1680
5901019,English and French,0
5901019,Finnish,0
5901019,French,60
5901019,German,10
5901019,Greek,0
5901019,Hindi,0
5901019,Hungarian,0
5901019,Ilocano,0
5901019,Italian,0
5901019,Japanese,0
5901019,Korean,0
5901019,Malay,0
5901019,Mandarin,0
5901019,Other non-official language,0
5901019,Panjabi (Punjabi),0
5901019,Persian (Farsi),0
5901019,Polish,0
5901019,Portuguese,0
5901019,Romanian,0
5901019,Russian,0
5901019,Serbian,0
5901019,Spanish,0
5901019,"Tagalog (Pilipino, Filipino)",0
5901019,Tamil,0
5901019,Ukrainian,0
5901019,Vietnamese,0
5901022,Arabic,5
5901022,Cantonese,10
5901022,Croatian,0
5901022,Czech,5
5901022,Dutch,5
5901022,English,18610
5901022,English and French,5
5901022,Finnish,0
5901022,French,50
5901022,German,40
5901022,Greek,0
5901022,Hindi,0
5901022,Hungarian,0
5901022,Ilocano,0
5901022,Italian,65
5901022,Japanese,0
5901022,Korean,40
5901022,Malay,0
5901022,Mandarin,5
5901022,Other non-official language,90
5901022,Panjabi (Punjabi),5
5901022,Persian (Farsi),0
5901022,Polish,5
5901022,Portuguese,0
5901022,Romanian,5
5901022,Russian,5
5901022,Serbian,5
5901022,Spanish,20
5901022,"Tagalog (Pilipino, Filipino)",15
5901022,Tamil,0
5901022,Ukrainian,0
5901022,Vietnamese,0
5901028,Arabic,0
5901028,Cantonese,0
5901028,Croatian,0
5901028,Czech,5
5901028,Dutch,0
5901028,English,6480
5901028,English and French,0
5901028,Finnish,0
5901028,French,5
5901028,German,20
5901028,Greek,0
5901028,Hindi,0
5901028,Hungarian,0
5901028,Ilocano,0
5901028,Italian,5
5901028,Japanese,5
5901028,Korean,10
5901028,Malay,0
5901028,Mandarin,5
5901028,Other non-official language,35
5901028,Panjabi (Punjabi),5
5901028,Persian (Farsi),0
5901028,Polish,10
5901028,Portuguese,0
5901028,Romanian,0
5901028,Russian,0
5901028,Serbian,0
5901028,Spanish,5
5901028,"Tagalog (Pilipino, Filipino)",0
5901028,Tamil,0
5901028,Ukrainian,0
5901028,Vietnamese,0
5901035,Arabic,0
5901035,Cantonese,0
5901035,Croatian,0
5901035,Czech,0
5901035,Dutch,0
5901035,English,5620
5901035,English and French,5
5901035,Finnish,0
5901035,French,25
5901035,German,40
5901035,Greek,0
5901035,Hindi,0
5901035,Hungarian,0
5901035,Ilocano,0
5901035,Italian,10
5901035,Japanese,0
5901035,Korean,0
5901035,Malay,0
5901035,Mandarin,0
5901035,Other non-official language,10
5901035,Panjabi (Punjabi),0
5901035,Persian (Farsi),0
5901035,Polish,0
5901035,Portuguese,0
5901035,Romanian,0
5901035,Russian,0
5901035,Serbian,0
5901035,Spanish,0
5901035,"Tagalog (Pilipino, Filipino)",0
5901035,Tamil,0
5901035,Ukrainian,0
5901035,Vietnamese,0
5901037,Arabic,0
5901037,Cantonese,0
5901037,Croatian,0
5901037,Czech,0
5901037,Dutch,5
5901037,English,1610
5901037,English and French,0
5901037,Finnish,0
5901037,French,10
5901037,German,15
5901037,Greek,0
5901037,Hindi,0
5901037,Hungarian,0
5901037,Ilocano,0
5901037,Italian,0
5901037,Japanese,0
5901037,Korean,0
5901037,Malay,0
5901037,Mandarin,0
5901037,Other non-official language,0
5901037,Panjabi (Punjabi),0
5901037,Persian (Farsi),0
5901037,Polish,0
5901037,Portuguese,0
5901037,Romanian,0
5901037,Russian,0
5901037,Serbian,0
5901037,Spanish,5
5901037,"Tagalog (Pilipino, Filipino)",0
5901037,Tamil,0
5901037,Ukrainian,0
5901037,Vietnamese,0
5901039,Arabic,0
5901039,Cantonese,0
5901039,Croatian,0
5901039,Czech,0
5901039,Dutch,0
5901039,English,2820
5901039,English and French,0
5901039,Finnish,0
5901039,French,10
5901039,German,25
5901039,Greek,0
5901039,Hindi,0
5901039,Hungarian,0
5901039,Ilocano,0
5901039,Italian,0
5901039,Japanese,0
5901039,Korean,5
5901039,Malay,0
5901039,Mandarin,0
5901039,Other non-official language,15
5901039,Panjabi (Punjabi),0
5901039,Persian (Farsi),0
5901039,Polish,5
5901039,Portuguese,0
5901039,Romanian,0
5901039,Russian,5
5901039,Serbian,0
5901039,Spanish,0
5901039,"Tagalog (Pilipino, Filipino)",5
5901039,Tamil,0
5901039,Ukrainian,0
5901039,Vietnamese,0
5901040,Arabic,5
5901040,Cantonese,0
5901040,Croatian,0
5901040,Czech,0
5901040,Dutch,0
5901040,English,745
5901040,English and French,0
5901040,Finnish,0
5901040,French,0
5901040,German,0
5901040,Greek,0
5901040,Hindi,0
5901040,Hungarian,0
5901040,Ilocano,0
5901040,Italian,0
5901040,Japanese,0
5901040,Korean,5
5901040,Malay,0
5901040,Mandarin,5
5901040,Other non-official language,20
5901040,Panjabi (Punjabi),5
5901040,Persian (Farsi),0
5901040,Polish,0
5901040,Portuguese,0
5901040,Romanian,0
