census_year,census_subdivision_id,track_usetype,track_operatoena,track_ownerena,station_stnenname,station_stntype,station_stnusr1ena
2011,5915025,Freight and Passenger,Canadian National,Canadian National,Willingdon Junction,Unknown,Canadian National
2011,5933037,Freight and Tourist,Canadian Pacific,Canadian Pacific,McAbee,Freight,Canadian National
2011,5915022,Passenger,Canadian Pacific,Canadian Pacific,CN Junction,Unknown,Canadian National
2011,5919008,Freight and Passenger,Southern Railway of Vancouver Island,Island Corridor Foundation,,,
2011,5947012,Freight,Canadian National,Canadian National,Prince Rupert,Freight,Canadian National
2011,5933042,Freight and Tourist,Canadian Pacific,Canadian Pacific,Mackenzie,Unknown,Canadian National
2011,5953019,Freight,Canadian National,Canadian National,Fitzwilliam,Unknown,Canadian National
2011,5921032,Freight,Southern Railway of Vancouver Island,Island Corridor Foundation,,,
2011,5909020,Freight,Canadian National,Canadian National,Rosedale,Unknown,Canadian National
2011,5939039,Freight,Kelowna Pacific Railway,Knighthawk Rail Ltd.,,,
2011,5953019,Freight and Passenger,Canadian National,Canadian National,Croydon,Unknown,Canadian National
2011,5933039,Freight,Canadian Pacific,Canadian Pacific,Jaleslie,Unknown,Canadian National
2011,5915020,Freight,Unknown,Unknown,,,
2011,5909052,Freight,Southern Railway of British Columbia,Island Corridor Foundation,Page,Unknown,Canadian National
2011,5949028,Freight and Passenger,Canadian National,Canadian National,Bulkley Canyon,Unknown,Canadian National
2011,5926021,Freight and Passenger,Southern Railway of Vancouver Island,Island Corridor Foundation,,,
2011,5915001,Freight,Southern Railway of British Columbia,Island Corridor Foundation,Hopewell,Unknown,Canadian National
2011,5915025,Freight and Passenger,Canadian National,Canadian National,Sperling,Unknown,Canadian National
2011,5953012,Freight,Canadian National,Canadian National,McBride,Mixed,Canadian National
2011,5903045,Freight,Canadian Pacific,Canadian Pacific,,,
2011,5909016,Freight and Passenger,Canadian Pacific,Canadian Pacific,Stout,Unknown,Canadian National
2011,5941010,Freight and Tourist,Canadian National,Canadian National,Mackin,Unknown,Canadian National
2011,5933070,Freight,Canadian National,Canadian National,Avola West,Unknown,Canadian National
