census_subdivision_id,census_subdivision_name,utility_id
9999,Jumbo Glacier,1
5901003,Elkford,1
5901006,Sparwood,1
5901012,Fernie,1
5901022,Cranbrook,1
5901028,Kimberley,1
5901039,Invermere,1
5901040,Radium Hot Springs,1
5901043,Canal Flats,1
5903004,Creston,1
5903011,Salmo,1
5903015,Nelson,7
5903019,Slocan,1
5903023,Kaslo,1
5903027,Silverton,1
5903032,New Denver,1
5903045,Castlegar,1
5903050,Nakusp,1
5905005,Fruitvale,1
5905009,Montrose,1
5905014,Trail,1
5905018,Warfield,1
5905023,Rossland,1
5905032,Grand Forks,6
5905037,Midway,1
5905042,Greenwood,1
5907005,Osoyoos,1
5907009,Keremeos,1
5907014,Oliver,1
5907024,Princeton,1
5907035,Summerland,5
5907041,Penticton,4
5909009,Hope,1
5909020,Chilliwack,1
5909027,Harrison Hot Springs,1
5909032,Kent,1
5909052,Abbotsford,1
5909056,Mission,1
5915001,Langley,1
5915002,Langley,1
5915004,Surrey,1
5915007,White Rock,1
5915011,Delta,1
5915015,Richmond,1
5915022,Vancouver,1
5915025,Burnaby,1
5915029,New Westminster,3
5915034,Coquitlam,1
5915036,Belcarra,1
5915038,Anmore,1
5915039,Port Coquitlam,1
5915043,Port Moody,1
5915046,North Vancouver,1
5915051,North Vancouver,1
5915055,West Vancouver,1
5915062,Bowen Island,1
5915065,Lions Bay,1
5915070,Pitt Meadows,1
5915075,Maple Ridge,1
5917005,North Saanich,1
5917010,Sidney,1
5917015,Central Saanich,1
5917021,Saanich,1
5917030,Oak Bay,1
5917034,Victoria,1
5917040,Esquimalt,1
5917041,Colwood,1
5917042,Metchosin,1
5917044,Langford,1
5917047,View Royal,1
5917049,Highlands,1
5917052,Sooke,1
5917811,Esquimalt,1
5919008,North Cowichan,1
5919012,Duncan,1
5919016,Lake Cowichan,1
5919021,Ladysmith,1
5921007,Nanaimo,1
5921008,Lantzville,1
5921018,Parksville,1
5921023,Qualicum Beach,1
5923008,Port Alberni,1
5923019,Ucluelet,1
5923025,Tofino,1
5924025,Gold River,1
5924029,Zeballos,1
5924030,Tahsis,1
5924034,Campbell River,1
5924039,Sayward,1
5926005,Comox,1
5926010,Courtenay,1
5926014,Cumberland,1
5927008,Powell River,1
5929005,Gibsons,1
5929011,Sechelt,1
5931006,Squamish,1
5931012,Pemberton,1
5931020,Whistler,1
5931026,Lillooet,1
5933006,Merritt,1
5933015,Lytton,1
5933019,Ashcroft,1
5933024,Cache Creek,1
5933028,Clinton,1
5933035,Logan Lake,1
5933042,Kamloops,1
5933045,Sun Peaks Mountain,1
5933054,Chase,1
5933067,Clearwater,1
5933074,Barriere,1
5935010,Kelowna,1
5935016,Lake Country,1
5935018,Peachland,1
5935029,West Kelowna,1
5937005,Lumby,1
5937010,Coldstream,1
5937014,Vernon,1
5937024,Spallumcheen,1
5937028,Armstrong,1
5937033,Enderby,1
5939007,Golden,1
5939019,Revelstoke,1
5939032,Salmon Arm,1
5939045,Sicamous,1
5941005,One Hundred Mile House,1
5941009,Williams Lake,1
5941013,Quesnel,1
5941025,Wells,1
5943008,Alert Bay,1
5943012,Port McNeill,1
5943017,Port Alice,1
5943023,Port Hardy,1
5947007,Port Edward,1
5947012,Prince Rupert,1
5947023,Masset,1
5947026,Queen Charlotte,1
5947030,Port Clements,1
5949005,Kitimat,1
5949011,Terrace,1
5949022,Hazelton,1
5949024,New Hazelton,1
5949032,Stewart,1
5951007,Vanderhoof,1
5951009,Fraser Lake,1
5951013,Fort St. James,1
5951022,Burns Lake,1
5951032,Granisle,1
5951034,Houston,1
5951038,Telkwa,1
5951043,Smithers,1
5953007,Valemount,1
5953012,McBride,1
5953023,Prince George,1
5953033,Mackenzie,1
5955003,Tumbler Ridge,1
5955005,Pouce Coupe,1
5955010,Chetwynd,1
5955014,Dawson Creek,1
5955025,Hudson's Hope,1
5955030,Taylor,1
5955034,Fort St. John,1
5959007,Northern Rockies,1
